token_id,slice_type,slice_value,treated_n,control_n,winner_rate_diff_vs_control,instrument_month_block_n,instrument_month_block_bootstrap_ci_low,stability_status
volatility_20d__bottom_20pct,calendar_year,2018,2420,5538,0.07180322878146181,380,0.051803228781461805,pass
volatility_20d__bottom_20pct,calendar_year,2019,12958,38033,0.10021732696717789,1549,0.08021732696717788,pass
volatility_20d__bottom_20pct,calendar_year,2020,15107,66318,0.12959296316132393,1664,0.10959296316132393,pass
volatility_20d__bottom_20pct,calendar_year,2021,12874,63546,0.09645326048512314,1524,0.07645326048512313,pass
volatility_20d__bottom_20pct,calendar_year,2022,5544,17675,0.027681625305387682,983,0.007681625305387681,pass
volatility_20d__bottom_20pct,calendar_year,2023,15626,22462,0.0942145297928428,2031,0.07421452979284279,pass
volatility_20d__bottom_20pct,calendar_year,2024,12737,40921,0.09191763891712468,1206,0.07191763891712467,pass
volatility_20d__bottom_20pct,calendar_year,2025,34033,42923,0.07009066402636449,3014,0.05009066402636449,pass
volatility_20d__bottom_20pct,board_bucket,chinext,7011,71108,0.10513252397026003,1073,0.08513252397026003,pass
volatility_20d__bottom_20pct,board_bucket,main_board,104288,226308,0.09170782459260948,11278,0.07170782459260948,pass
volatility_20d__bottom_20pct,market_regime_bucket,risk_on,111299,297416,0.09009063310585425,12351,0.07009063310585424,pass
