token_id,family_id,primitive_id,split_bucket,treated_n,treated_positive_n,treated_winner_rate,control_n,control_positive_n,control_winner_rate,native_baseline_winner_rate,winner_rate_diff_vs_control,winner_rate_diff_vs_control_ci_low,winner_rate_diff_vs_control_ci_high,winner_rate_ratio_vs_control,odds_ratio_vs_control,auc_one_vs_rest,broad_morphology_baseline_auc,auc_margin_vs_broad_morphology_baseline,rank_ic,top_decile_lift,control_match_quality,metric_status
max_drawdown_20d__bottom_10pct,reversal_drawdown,max_drawdown_20d,train,21680,1694,0.07813653136531365,95500,10277,0.10761256544502618,0.14517929462992518,-0.029476034079712526,-0.03355353398785704,-0.02539853417156801,0.7260911496922695,0.7030346103907172,0.39924676315593954,,,-0.12295310162918348,-0.06704276326461153,coarsened_caveat,fail
max_drawdown_20d__bottom_10pct,reversal_drawdown,max_drawdown_20d,validation,2416,137,0.05670529801324503,18815,1269,0.06744618655328195,0.09591074428694929,-0.010740888540036922,-0.020634873179035142,-0.0008469039010387015,0.8407487644753391,0.8337213002063618,0.40959061155268395,,,-0.09222389118569145,-0.0433907638596128,coarsened_caveat,fail
max_drawdown_20d__bottom_10pct,reversal_drawdown,max_drawdown_20d,robustness,7364,424,0.057577403585008145,38809,3164,0.08152748073900384,0.1363712925107569,-0.0239500771539957,-0.02992653791339153,-0.017973616394599868,0.7062330770324213,0.6889481637641598,0.37786264450630946,,,-0.14519917551967354,-0.07512492901358953,coarsened_caveat,fail
max_drawdown_20d__bottom_20pct,reversal_drawdown,max_drawdown_20d,train,43360,3643,0.08401752767527676,133068,18395,0.13823759280969128,0.14517929462992518,-0.05422006513441452,-0.057422742421704656,-0.05101738784712438,0.6077762638050409,0.5718581842256095,0.39924676315593954,,,-0.12295310162918348,-0.06704276326461153,coarsened_caveat,fail
max_drawdown_20d__bottom_20pct,reversal_drawdown,max_drawdown_20d,validation,6448,332,0.05148883374689826,29470,2340,0.07940278249066848,0.09591074428694929,-0.02791394874377022,-0.03412876872484409,-0.021699128762696345,0.6484512523594409,0.6301411217740395,0.40959061155268395,,,-0.09222389118569145,-0.0433907638596128,coarsened_caveat,fail
max_drawdown_20d__bottom_20pct,reversal_drawdown,max_drawdown_20d,robustness,16338,1033,0.06322683314971232,54019,5283,0.09779892260130695,0.1363712925107569,-0.03457208945159462,-0.03906662298738272,-0.030077555915806527,0.6464982585489892,0.6228673765000231,0.37786264450630946,,,-0.14519917551967354,-0.07512492901358953,coarsened_caveat,fail
max_drawdown_20d__top_20pct,reversal_drawdown,max_drawdown_20d,train,43362,8961,0.20665559706655598,154697,21212,0.13711965972190798,0.14517929462992518,0.069535937344648,0.0653571328889647,0.07371474180033129,1.5071186545071191,1.6392514140125123,0.6007532368440605,,,0.12295310162918348,0.08042033636638479,coarsened_caveat,pass
max_drawdown_20d__top_20pct,reversal_drawdown,max_drawdown_20d,validation,17619,2320,0.13167603155684204,43688,3560,0.08148690715986083,0.09591074428694929,0.05018912439698121,0.04457573407012524,0.05580251472383719,1.6159164232177852,1.7094101204366887,0.590409388447316,,,0.09222389118569145,0.0720879508688165,insufficient_control,pass
max_drawdown_20d__top_20pct,reversal_drawdown,max_drawdown_20d,robustness,40489,7891,0.19489243992195412,90125,9921,0.11008044382801664,0.1363712925107569,0.08481199609393748,0.08044592681931062,0.08917806536856435,1.7704547069817675,1.9569662829019574,0.6221373554936905,,,0.14519917551967354,0.07584735700692799,insufficient_control,pass
max_drawdown_20d__top_10pct,reversal_drawdown,max_drawdown_20d,train,21700,4893,0.22548387096774195,112036,19176,0.17115927023456745,0.14517929462992518,0.054324600733174494,0.04834295205406643,0.060306249412282555,1.317392103032016,1.4098670011251895,0.6007532368440605,,,0.12295310162918348,0.08042033636638479,coarsened_caveat,pass
