token_id,split_bucket,treated_n,control_n,coarsening_level,effective_control_ratio,unmatched_treated_n,matched_block_n,excluded_match_keys,max_standardized_diff_after_match,control_match_quality,match_status
max_drawdown_20d__bottom_10pct,train,21680,95500,level_0,4.404981549815498,0,2309,,0.6607034041930472,coarsened_caveat,pass
max_drawdown_20d__bottom_10pct,validation,2416,18815,level_0,7.787665562913907,0,531,,0.5939075506045275,coarsened_caveat,pass
max_drawdown_20d__bottom_10pct,robustness,7364,38809,level_0,5.270097772949484,0,747,,0.8752367709023577,coarsened_caveat,pass
max_drawdown_20d__bottom_20pct,train,43360,133068,level_1,3.068911439114391,0,1755,,0.8843889455132328,coarsened_caveat,pass
max_drawdown_20d__bottom_20pct,validation,6448,29470,level_0,4.570409429280397,0,1000,,0.6273805220608566,coarsened_caveat,pass
max_drawdown_20d__bottom_20pct,robustness,16338,54019,level_0,3.3063410454155955,0,1257,,0.9931818485489228,coarsened_caveat,pass
max_drawdown_20d__top_20pct,train,43362,154697,level_1,3.56757068400904,0,1888,,1.1190296583061037,coarsened_caveat,pass
max_drawdown_20d__top_20pct,validation,17619,43688,level_3,2.479595890799705,0,4,,1.0703144923048435,insufficient_control,fail
max_drawdown_20d__top_20pct,robustness,40489,90125,level_3,2.225913210995579,0,4,,1.2045252581254544,insufficient_control,fail
max_drawdown_20d__top_10pct,train,21700,112036,level_0,5.162949308755761,0,2320,,0.9350638139104638,coarsened_caveat,pass
max_drawdown_20d__top_10pct,validation,9788,32372,level_0,3.3073150796894155,0,1081,,0.9342579818637609,coarsened_caveat,pass
max_drawdown_20d__top_10pct,robustness,21111,76604,level_0,3.628629624366444,0,1500,,0.946523329647757,coarsened_caveat,pass
distance_to_20d_low__bottom_10pct,train,21680,152652,level_0,7.041143911439114,0,3111,,0.6769307102089556,coarsened_caveat,pass
distance_to_20d_low__bottom_10pct,validation,7859,43722,level_0,5.5633032192390885,0,1369,,0.4745558379946906,coarsened_caveat,pass
distance_to_20d_low__bottom_10pct,robustness,18434,95295,level_0,5.169523706195075,0,1821,,0.6533449943005768,coarsened_caveat,pass
distance_to_20d_low__bottom_20pct,train,43359,149788,level_0,3.4545999677114323,0,3849,,0.764128640453821,coarsened_caveat,pass
distance_to_20d_low__bottom_20pct,validation,16068,45239,level_3,2.8154717450833955,0,4,,0.6888964904418863,insufficient_control,fail
distance_to_20d_low__bottom_20pct,robustness,35007,95607,level_3,2.73108235495758,0,4,,0.8665384179761417,insufficient_control,fail
distance_to_20d_low__top_20pct,train,43359,130291,level_1,3.0049355381812313,0,1764,,1.1069888400207555,coarsened_caveat,pass
distance_to_20d_low__top_20pct,validation,6083,24824,level_0,4.080881144172284,0,865,,1.1084980047881738,coarsened_caveat,pass
distance_to_20d_low__top_20pct,robustness,19747,64885,level_1,3.2858155669215576,0,840,,1.3397029473107835,coarsened_caveat,pass
distance_to_20d_low__top_10pct,train,21680,86075,level_0,3.970249077490775,0,2156,,0.9554619628036694,coarsened_caveat,pass
distance_to_20d_low__top_10pct,validation,2402,13197,level_0,5.494171523730225,0,401,,1.1071548100728035,coarsened_caveat,pass
distance_to_20d_low__top_10pct,robustness,10182,35670,level_0,3.5032410135533296,0,858,,1.0981358909523957,coarsened_caveat,pass
rebound_from_20d_low__bottom_10pct,train,21680,152652,level_0,7.041143911439114,0,3111,,0.6769307102089556,coarsened_caveat,pass
rebound_from_20d_low__bottom_10pct,validation,7859,43722,level_0,5.5633032192390885,0,1369,,0.4745558379946906,coarsened_caveat,pass
rebound_from_20d_low__bottom_10pct,robustness,18434,95295,level_0,5.169523706195075,0,1821,,0.6533449943005768,coarsened_caveat,pass
rebound_from_20d_low__bottom_20pct,train,43359,149788,level_0,3.4545999677114323,0,3849,,0.764128640453821,coarsened_caveat,pass
rebound_from_20d_low__bottom_20pct,validation,16068,45239,level_3,2.8154717450833955,0,4,,0.6888964904418863,insufficient_control,fail
rebound_from_20d_low__bottom_20pct,robustness,35007,95607,level_3,2.73108235495758,0,4,,0.8665384179761417,insufficient_control,fail
rebound_from_20d_low__top_20pct,train,43359,130291,level_1,3.0049355381812313,0,1764,,1.1069888400207555,coarsened_caveat,pass
rebound_from_20d_low__top_20pct,validation,6083,24824,level_0,4.080881144172284,0,865,,1.1084980047881738,coarsened_caveat,pass
rebound_from_20d_low__top_20pct,robustness,19747,64885,level_1,3.2858155669215576,0,840,,1.3397029473107835,coarsened_caveat,pass
rebound_from_20d_low__top_10pct,train,21680,86075,level_0,3.970249077490775,0,2156,,0.9554619628036694,coarsened_caveat,pass
rebound_from_20d_low__top_10pct,validation,2402,13197,level_0,5.494171523730225,0,401,,1.1071548100728035,coarsened_caveat,pass
rebound_from_20d_low__top_10pct,robustness,10182,35670,level_0,3.5032410135533296,0,858,,1.0981358909523957,coarsened_caveat,pass
distance_to_20d_high__bottom_10pct,train,21680,115468,level_0,5.326014760147602,0,2711,,0.6199706258120561,coarsened_caveat,pass
distance_to_20d_high__bottom_10pct,validation,3232,26636,level_0,8.241336633663366,0,763,,0.5217993399220121,coarsened_caveat,pass
distance_to_20d_high__bottom_10pct,robustness,9672,52032,level_0,5.379652605459057,0,1027,,0.7837788626808766,coarsened_caveat,pass
distance_to_20d_high__bottom_20pct,train,43359,130500,level_0,3.0097557600498166,0,3732,,0.6283190850046849,coarsened_caveat,pass
distance_to_20d_high__bottom_20pct,validation,7897,35337,level_0,4.4747372419906295,0,1266,,0.5119903591151593,coarsened_caveat,pass
distance_to_20d_high__bottom_20pct,robustness,20484,73570,level_0,3.591583675063464,0,1635,,0.940728841374483,coarsened_caveat,pass
distance_to_20d_high__top_20pct,train,43389,161437,level_0,3.72068957569891,0,4364,,0.4463498445721136,coarsened_caveat,pass
distance_to_20d_high__top_20pct,validation,15088,46219,level_2,3.063295334040297,0,16,,0.5040926066246137,coarsened_caveat,pass
distance_to_20d_high__top_20pct,robustness,31340,97528,level_1,3.11193363114231,0,1250,,0.5799365587536084,coarsened_caveat,pass
distance_to_20d_high__top_10pct,train,21680,171572,level_0,7.913837638376384,0,3775,,0.3175012534411141,coarsened_caveat,pass
distance_to_20d_high__top_10pct,validation,7521,45963,level_0,6.111288392500997,0,1425,,0.4482429317849421,coarsened_caveat,pass
distance_to_20d_high__top_10pct,robustness,16402,102656,level_0,6.258748933056944,0,1911,,0.407312600505405,coarsened_caveat,pass
ret_5d__bottom_10pct,train,21680,148992,level_0,6.872324723247233,0,3262,,0.5159606470859691,coarsened_caveat,pass
ret_5d__bottom_10pct,validation,3391,33215,level_0,9.795045709230315,0,901,,0.5050705404250074,coarsened_caveat,pass
ret_5d__bottom_10pct,robustness,9122,82295,level_0,9.021596141197106,0,1432,,0.6373171664027557,coarsened_caveat,pass
ret_5d__bottom_20pct,train,43360,159542,level_0,3.6794741697416975,0,4230,,0.39086705136564476,coarsened_caveat,pass
ret_5d__bottom_20pct,validation,9178,43048,level_0,4.690346480714752,0,1461,,0.41163122703201155,coarsened_caveat,pass
ret_5d__bottom_20pct,robustness,21600,100989,level_0,4.675416666666667,0,2102,,0.4925608797816569,coarsened_caveat,pass
ret_5d__top_20pct,train,43359,152777,level_0,3.523536059410964,0,4222,,0.5722825501457124,coarsened_caveat,pass
ret_5d__top_20pct,validation,8271,40535,level_0,4.900858420988998,0,1367,,0.6299720512795248,coarsened_caveat,pass
ret_5d__top_20pct,robustness,19801,91116,level_0,4.601585778496036,0,1981,,0.7141178566740856,coarsened_caveat,pass
ret_5d__top_10pct,train,21680,131632,level_0,6.071586715867158,0,3074,,0.6409499036511527,coarsened_caveat,pass
ret_5d__top_10pct,validation,3339,27397,level_0,8.205151242887093,0,810,,0.6838885106108293,coarsened_caveat,pass
ret_5d__top_10pct,robustness,9914,68205,level_0,6.879665120032278,0,1383,,0.7308452653480269,coarsened_caveat,pass
