family_id,primitive_id,primitive_status,token_status,available_at,future_data_used
reversal_drawdown,max_drawdown_20d,pass,candidate,reference_date_close,False
reversal_drawdown,distance_to_20d_low,pass,candidate,reference_date_close,False
reversal_drawdown,rebound_from_20d_low,pass,candidate,reference_date_close,False
breakout_trend,distance_to_20d_high,pass,candidate,reference_date_close,False
breakout_trend,ret_5d,pass,candidate,reference_date_close,False
breakout_trend,ret_20d,pass,candidate,reference_date_close,False
breakout_trend,trend_ma_5_20_spread,pass,candidate,reference_date_close,False
breakout_trend,trend_ma_20_60_spread,pass,candidate,reference_date_close,False
volatility_range,volatility_20d,pass,candidate,reference_date_close,False
volatility_range,volatility_60d,pass,candidate,reference_date_close,False
volatility_range,vol_ratio_20d_60d,pass,candidate,reference_date_close,False
volatility_range,vol_compression_20d_60d,pass,candidate,reference_date_close,False
volatility_range,vol_expansion_20d_60d,pass,candidate,reference_date_close,False
volatility_range,recent_range_activity_20d,pass,candidate,reference_date_close,False
volatility_range,intraday_range_mean_20d,pass,candidate,reference_date_close,False
liquidity_attention,turnover_rate_median_20d,pass,candidate,reference_date_close,False
liquidity_attention,turnover_zscore_20d,pass,candidate,reference_date_close,False
liquidity_attention,money_median_20d,pass,candidate,reference_date_close,False
relative_strength,stock_vs_board_20d,pass,candidate,reference_date_close,False
relative_strength,board_return_20d,pass,candidate,reference_date_close,False
