token_id,family_id,primitive_id,lookback_sessions,orientation,threshold_rule,threshold_value,threshold_split,available_at,future_data_used,comparator
max_drawdown_20d__bottom_10pct,reversal_drawdown,max_drawdown_20d,20,asc,bottom_10pct,-0.16561421188247563,train,reference_date_close,False,le
max_drawdown_20d__bottom_20pct,reversal_drawdown,max_drawdown_20d,20,asc,bottom_20pct,-0.13297872340425532,train,reference_date_close,False,le
max_drawdown_20d__top_20pct,reversal_drawdown,max_drawdown_20d,20,desc,top_20pct,-0.04639776171601773,train,reference_date_close,False,ge
max_drawdown_20d__top_10pct,reversal_drawdown,max_drawdown_20d,20,desc,top_10pct,-0.034220532319391594,train,reference_date_close,False,ge
distance_to_20d_low__bottom_10pct,reversal_drawdown,distance_to_20d_low,20,asc,bottom_10pct,0.01817381640688538,train,reference_date_close,False,le
distance_to_20d_low__bottom_20pct,reversal_drawdown,distance_to_20d_low,20,asc,bottom_20pct,0.03387635883887073,train,reference_date_close,False,le
distance_to_20d_low__top_20pct,reversal_drawdown,distance_to_20d_low,20,desc,top_20pct,0.1952266561627952,train,reference_date_close,False,ge
distance_to_20d_low__top_10pct,reversal_drawdown,distance_to_20d_low,20,desc,top_10pct,0.2784265724989906,train,reference_date_close,False,ge
rebound_from_20d_low__bottom_10pct,reversal_drawdown,rebound_from_20d_low,20,asc,bottom_10pct,0.01817381640688538,train,reference_date_close,False,le
rebound_from_20d_low__bottom_20pct,reversal_drawdown,rebound_from_20d_low,20,asc,bottom_20pct,0.03387635883887073,train,reference_date_close,False,le
rebound_from_20d_low__top_20pct,reversal_drawdown,rebound_from_20d_low,20,desc,top_20pct,0.1952266561627952,train,reference_date_close,False,ge
rebound_from_20d_low__top_10pct,reversal_drawdown,rebound_from_20d_low,20,desc,top_10pct,0.2784265724989906,train,reference_date_close,False,ge
distance_to_20d_high__bottom_10pct,breakout_trend,distance_to_20d_high,20,asc,bottom_10pct,-0.15744301073435574,train,reference_date_close,False,le
distance_to_20d_high__bottom_20pct,breakout_trend,distance_to_20d_high,20,asc,bottom_20pct,-0.12194784603447686,train,reference_date_close,False,le
distance_to_20d_high__top_20pct,breakout_trend,distance_to_20d_high,20,desc,top_20pct,-0.027027027027027084,train,reference_date_close,False,ge
distance_to_20d_high__top_10pct,breakout_trend,distance_to_20d_high,20,desc,top_10pct,-0.015335405113643645,train,reference_date_close,False,ge
ret_5d__bottom_10pct,breakout_trend,ret_5d,5,asc,bottom_10pct,-0.05685047769584747,train,reference_date_close,False,le
ret_5d__bottom_20pct,breakout_trend,ret_5d,5,asc,bottom_20pct,-0.03317535545023709,train,reference_date_close,False,le
ret_5d__top_20pct,breakout_trend,ret_5d,5,desc,top_20pct,0.05594761949196544,train,reference_date_close,False,ge
ret_5d__top_10pct,breakout_trend,ret_5d,5,desc,top_10pct,0.09342156178173473,train,reference_date_close,False,ge
ret_20d__bottom_10pct,breakout_trend,ret_20d,20,asc,bottom_10pct,-0.09537166900420757,train,reference_date_close,False,le
ret_20d__bottom_20pct,breakout_trend,ret_20d,20,asc,bottom_20pct,-0.0523865600239845,train,reference_date_close,False,le
ret_20d__top_20pct,breakout_trend,ret_20d,20,desc,top_20pct,0.1385720195006648,train,reference_date_close,False,ge
