artifact_id,resolved_path,row_count,column_count,sha256,schema_status,read_status,required_flag,lineage_role
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13a_full_pit_native_token_cartography_preflight.md,,,e64f9b1cb360e3361ce109e63a794a3ac40d84e9bb09f6e9c371d5377886293f,pass,pass,True,run_config_input
source_discussion,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/discussion3.md,,,bc3e48278c4a3b2b43c6cbeb5a4dd4a918ccbd3a2bef20044ac77d4eaf61d294,pass,pass,True,upstream_12a7g_lineage
upstream_requirement_12a7g,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a7g_vol_scaled_label_panel_c0_separability_triage.md,,,07786959ad687ff18ba6b2737008666d8fdb2a0dc591ee45741c23be31c452d4,pass,pass,True,upstream_12a7g_lineage
upstream_config_12a7g,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/configs/config_12a7g_vol_scaled_label_panel_c0_separability_triage.yaml,,,b3a462ff29d6506b614be89d52dcd35d5d8eb11c61329cc95cf0bd1a9be2c856,pass,pass,True,upstream_12a7g_lineage
pit_topn_400_100_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,True,raw_pit_rebuild_input
pit_topn_400_100_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500.0,32.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,True,raw_pit_rebuild_input
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598.0,,,directory,pass,True,raw_pit_rebuild_input
global_regime_calendar,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/11_archetype_proxy_validation_system_v0/outputs/publishable/tables/11A0_regime_pit_availability_audit/regime_daily_series_audit.csv,1912.0,7.0,8ec181dd392b20c1677c61c5a74f4d6bfa5609f78782057958c96ec63e600898,pass,pass,True,raw_pit_rebuild_input
upstream_12a7g_table_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage,25.0,,,directory,pass,True,upstream_12a7g_lineage
upstream_12a7g_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A7g_vol_scaled_label_panel_c0_separability_triage_manifest.json,,,b350d7b216c8b5c11059a881a2bd804dcdcf9243007ccf36c79a05dc2b47baca,pass,pass,True,upstream_12a7g_lineage
upstream_full_pit_label_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A7g_vol_scaled_label_panel_c0_separability_triage/full_pit_vol_scaled_label_panel.parquet,431239.0,65.0,beaa48abd45836c3befb28ac0cb30dc5db70fcfdd581743ea53928d1465de290,pass,pass,False,upstream_12a7g_lineage
upstream_full_pit_primitive_panel_cache,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/local_cache/12A7g_vol_scaled_label_panel_c0_separability_triage/full_universe_primitive_feature_panel.parquet,1140000.0,44.0,f7a2f589b6687f316e073fd0cd02217e2d690ca8206c88bd3be15f888d6ff44d,pass,pass,False,upstream_12a7g_lineage
