split_bucket,calendar_year,board_bucket,market_regime_bucket,instrument_count,row_count,instrument_month_count,winner_base_rate,missing_regime_bypassed_row_n,not_evaluable_row_n,source_field_available
all,2018,chinext,risk_on,95,1034,186,0.061895551257253385,0,931,True
all,2018,main_board,risk_on,441,6924,1090,0.04636048526863085,0,932,True
all,2019,chinext,risk_on,169,9815,786,0.15731023942944472,0,1366,True
all,2019,main_board,risk_on,517,41176,3093,0.15329318049349136,0,4238,True
all,2020,chinext,risk_on,185,16377,1194,0.15527874458081456,0,631,True
all,2020,main_board,risk_on,568,65048,4497,0.17165785266264913,0,4284,True
all,2021,chinext,risk_on,166,14630,1225,0.12317156527682843,0,952,True
all,2021,main_board,risk_on,578,61790,4964,0.12497167826509144,0,2512,True
all,2022,chinext,risk_on,143,4552,605,0.05162565905096661,0,93,True
all,2022,main_board,risk_on,506,18667,2453,0.05812396207210586,0,519,True
all,2023,chinext,risk_on,149,7522,725,0.10635469290082425,0,300,True
all,2023,main_board,risk_on,507,30566,2856,0.12301249754629327,0,1308,True
all,2024,chinext,risk_on,137,9341,678,0.0686222031902366,0,1679,True
all,2024,main_board,risk_on,509,44317,2973,0.08802491143353566,0,470,True
all,2025,chinext,risk_on,150,14848,1083,0.17288523706896552,0,986,True
all,2025,main_board,risk_on,521,62108,4235,0.17232884652540736,0,1323,True
train,2018,chinext,risk_on,95,1034,186,0.061895551257253385,0,931,True
train,2018,main_board,risk_on,441,6924,1090,0.04636048526863085,0,932,True
train,2019,chinext,risk_on,169,9815,786,0.15731023942944472,0,1366,True
train,2019,main_board,risk_on,517,41176,3093,0.15329318049349136,0,4238,True
train,2020,chinext,risk_on,185,16377,1194,0.15527874458081456,0,631,True
train,2020,main_board,risk_on,568,65048,4497,0.17165785266264913,0,4284,True
train,2021,chinext,risk_on,166,14630,1225,0.12317156527682843,0,952,True
train,2021,main_board,risk_on,578,61790,4964,0.12497167826509144,0,2512,True
validation,2022,chinext,risk_on,143,4552,605,0.05162565905096661,0,93,True
validation,2022,main_board,risk_on,506,18667,2453,0.05812396207210586,0,519,True
validation,2023,chinext,risk_on,149,7522,725,0.10635469290082425,0,300,True
validation,2023,main_board,risk_on,507,30566,2856,0.12301249754629327,0,1308,True
robustness,2024,chinext,risk_on,137,9341,678,0.0686222031902366,0,1679,True
robustness,2024,main_board,risk_on,509,44317,2973,0.08802491143353566,0,470,True
robustness,2025,chinext,risk_on,150,14848,1083,0.17288523706896552,0,986,True
robustness,2025,main_board,risk_on,521,62108,4235,0.17232884652540736,0,1323,True
