token_id,split_bucket,decision_point,execution_point,coverage_share,captured_positive_n,captured_positive_share,winner_rate,lift_vs_native_baseline,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,native_baseline_utility_total_indexed,native_baseline_utility_total_indexed_ci_high,cost_buffer_return,precision_recall_frontier_status,deployability_status
max_drawdown_20d__bottom_10pct,train,reference_date_close,next_open,0.10000276760426949,1694,0.0538222024528182,0.07813653136531365,-0.06704276326461153,-0.026584616681132017,-0.002658535243811831,-0.0026939242897454645,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
max_drawdown_20d__bottom_10pct,validation,reference_date_close,next_open,0.03940822418320909,137,0.023299319727891156,0.05670529801324503,-0.03920544627370426,-0.03688405241555886,-0.0014535350063775783,-0.0015114956369954651,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
max_drawdown_20d__bottom_10pct,robustness,reference_date_close,next_open,0.05637986739553187,424,0.023804176959353246,0.057577403585008145,-0.07879388892574873,-0.02243831045013249,-0.0012650689677582469,-0.0012939633480231604,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
max_drawdown_20d__bottom_20pct,train,reference_date_close,next_open,0.20000553520853898,3643,0.11574633030437821,0.08401752767527676,-0.06116176695464842,-0.02636954712864102,-0.00527405538667064,-0.005323698169742828,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
max_drawdown_20d__bottom_20pct,validation,reference_date_close,next_open,0.10517559169426004,332,0.05646258503401361,0.05148883374689826,-0.04442191054005103,-0.03808363805343966,-0.004005469166140554,-0.004103237215392052,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
max_drawdown_20d__bottom_20pct,robustness,reference_date_close,next_open,0.12508613165510588,1033,0.05799461037502807,0.06322683314971232,-0.07314445936104456,-0.020389138373590708,-0.0025503984469331387,-0.0025895063617674854,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
max_drawdown_20d__top_20pct,train,reference_date_close,next_open,0.20001476055610395,8961,0.2847111901887272,0.20665559706655598,0.0614763024366308,-0.009522228954624306,-0.0019045863443195807,-0.0019225131159060797,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
max_drawdown_20d__top_20pct,validation,reference_date_close,next_open,0.28738969448839446,2320,0.3945578231292517,0.13167603155684204,0.035765287269892754,-0.020508720577890355,-0.005893994941227758,-0.005981026187449806,-0.027763349045990995,-0.02754357677694963,0.01,reported,fail
max_drawdown_20d__top_20pct,robustness,reference_date_close,next_open,0.3099897407628585,7891,0.44301594430720864,0.19489243992195412,0.05852114741119724,-0.005862672812466203,-0.0018173684253138568,-0.0018350707590638821,-0.009724509119859117,-0.009671770483718532,0.01,reported,fail
max_drawdown_20d__top_10pct,train,reference_date_close,next_open,0.10009502107991919,4893,0.15546165088644595,0.22548387096774195,0.08030457633781676,-0.007534275342368257,-0.000754143449216266,-0.0007641775894752937,-0.015987285279449523,-0.015919986503260784,0.01,reported,fail
