target_industry,task,fold_id,raw_distinct_instruments,scope_locked_distinct_instruments,feature_bank_v1_available_distinct_instruments,feature_bank_v2_available_distinct_instruments,trainability_denominator_distinct_instruments,path_eligible_distinct_instruments,p0_9b_distinct_instruments,explore10_distinct_instruments,present_in_both_distinct_instruments,unknown_or_unclassified_loss_weight_share,primary_bottleneck,v2_restores_distinct_instruments
汽车,launch_winner,fold_2020,0,0,0,,0,0,0,0,0,0.0,automotive_scope_width,False
汽车,launch_winner,fold_2021,15,15,12,,12,0,15,15,15,0.0,automotive_scope_width,False
汽车,launch_winner,fold_2022,15,15,13,,13,0,15,15,15,0.0,automotive_scope_width,False
汽车,launch_winner,fold_2023,15,15,13,,13,0,15,15,15,0.0,automotive_scope_width,False
汽车,launch_winner,fold_2024,17,17,13,,13,0,17,17,17,0.0,automotive_scope_width,False
汽车,failure_reject,fold_2020,12,12,10,,10,0,12,12,12,0.0,automotive_scope_width,False
汽车,failure_reject,fold_2021,15,15,13,,13,0,15,15,15,0.0,automotive_scope_width,False
汽车,failure_reject,fold_2022,16,16,13,,13,0,16,16,16,0.0,automotive_scope_width,False
汽车,failure_reject,fold_2023,16,16,13,,13,0,16,16,16,0.0,automotive_scope_width,False
汽车,failure_reject,fold_2024,17,17,13,,13,0,17,17,17,0.0,automotive_scope_width,False
