target_industry,task,fold_id,raw_train_rows,train_rows_after_purge,validation_rows,rows_with_train_label_window_end_crossing_validation,walk_forward_purge_pass,pass
汽车,failure_reject,fold_2020,1443,1320,605,1,True,True
汽车,failure_reject,fold_2021,2116,1993,635,1,True,True
汽车,failure_reject,fold_2022,2762,2516,642,1,True,True
汽车,failure_reject,fold_2023,3393,3114,751,1,True,True
汽车,failure_reject,fold_2024,4230,3951,6,1,True,True
汽车,launch_winner,fold_2021,620,601,206,1,True,True
汽车,launch_winner,fold_2022,865,819,213,1,True,True
汽车,launch_winner,fold_2023,1064,1018,256,1,True,True
汽车,launch_winner,fold_2024,1300,1254,1,1,True,True
