threshold_name,present_in_config,config_value,used_by_runtime,pass
max_feature_missing_weight_share,True,0.2,True,True
max_feature_missing_row_rate,True,0.3,True,True
max_duplicate_feature_cluster_count,True,50.0,True,True
max_constant_feature_rate,True,0.05,True,True
max_feature_family_share,True,0.35,True,True
min_feature_family_coverage_after_hygiene,True,0.8,True,True
min_trainable_core_folds_for_explore10b,True,2.0,True,True
min_distinct_instruments_original,True,20.0,True,True
max_unknown_loss_weight_share,True,0.01,True,True
max_top_instrument_year_weight_share,True,0.08,True,True
max_instrument_year_weight_hhi,True,0.08,True,True
