target_industry,instrument,fold_id,task,stage_name,stage_order,row_count,weighted_row_count,positive_count,distinct_signal_dates,distinct_event_effective_dates,pass,first_failure_stage,first_failure_reason,last_stage_passed,raw_row_count_before_failure,weighted_row_count_before_failure,positive_count_before_failure,unknown_or_unclassified_loss_weight_share
汽车,SH600066,fold_2020,launch_winner,pit_automotive_member,1,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,has_qlib_pit_calendar,2,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,has_required_ohlcv,3,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,has_raw_source_event,4,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,has_launch_or_failure_scope_row,5,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,label_window_available,6,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_label_truncation,7,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_label_window_purge,8,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_observed_reference_decision_feature,9,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_feature_asof,10,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_scope_lock,11,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,passes_feature_bank_v1_required_availability,12,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,eligible_for_trainability_denominator,13,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,eligible_for_model_fit,14,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600066,fold_2020,launch_winner,eligible_for_path_extraction,15,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,pit_automotive_member,1,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,has_qlib_pit_calendar,2,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,has_required_ohlcv,3,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,has_raw_source_event,4,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,has_launch_or_failure_scope_row,5,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,label_window_available,6,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_label_truncation,7,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_label_window_purge,8,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_observed_reference_decision_feature,9,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_feature_asof,10,0,0.0,0,0,0,True,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_scope_lock,11,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,passes_feature_bank_v1_required_availability,12,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,eligible_for_trainability_denominator,13,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,eligible_for_model_fit,14,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
汽车,SH600104,fold_2020,launch_winner,eligible_for_path_extraction,15,0,0.0,0,0,0,False,has_required_ohlcv,has_required_ohlcv,has_qlib_pit_calendar,0,0.0,0,0.0
