artifact_name,referenced_section,listed_in_section_16_or_17,exists_at_manifest_path,manifest_row_count,manifest_col_count,manifest_file_size,is_cache_artifact,is_report_artifact,cache_parquet_ignored_by_git,row_level_csv_generated_by_default,row_level_csv_tracked_by_git,pass
explore10a_run_manifest.json,16,True,True,,,13764,False,True,True,False,False,True
explore10a_preflight_reference_artifact_audit.csv,16,True,True,18.0,12.0,2847,False,True,True,False,False,True
explore10a_feature_asof_leakage_audit.csv,16,True,True,9.0,6.0,481,False,True,True,False,False,True
explore10a_observed_reference_overlap_audit.csv,16,True,True,9.0,9.0,690,False,True,True,False,False,True
explore10a_purge_audit.csv,16,True,True,9.0,9.0,675,False,True,True,False,False,True
explore10a_sample_width_root_cause_gate.csv,16,True,True,10.0,15.0,2892,False,True,True,False,False,True
explore10a_automotive_row_attrition_waterfall.csv,16,True,True,2670.0,19.0,515396,False,True,True,False,False,True
explore10a_p0_9b_explore10_panel_reconciliation.csv,16,True,True,9.0,22.0,1809,False,True,True,False,False,True
explore10a_feature_bank_v1_to_v2_hygiene_audit.csv,16,True,True,1.0,5.0,201,False,True,True,False,False,True
explore10a_feature_bank_v2_dictionary.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_feature_bank_v2_feature_drop_log.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_feature_bank_v2_duplicate_cluster_audit.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_feature_bank_v2_missingness_by_fold.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_feature_bank_v2_missingness_by_instrument.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_feature_bank_v2_family_coverage_audit.csv,16,True,True,1.0,4.0,166,False,True,True,False,False,True
explore10a_sample_width_attribution.csv,16,True,True,10.0,15.0,1330,False,True,True,False,False,True
explore10a_trainability_counterfactual_audit.csv,16,True,True,1.0,7.0,273,False,True,True,False,False,True
explore10a_electronics_placebo_guardrail_audit.csv,16,True,True,1.0,11.0,520,False,True,True,False,False,True
explore10a_sample_weight_and_concentration_audit.csv,16,True,True,9.0,11.0,1474,False,True,True,False,False,True
explore10a_explore10b_readiness_gate.csv,16,True,True,1.0,15.0,647,False,True,True,False,False,True
explore10a_metric_nonselection_audit.csv,16,True,True,2.0,6.0,207,False,True,True,False,False,True
explore10a_threshold_nonselection_audit.csv,16,True,True,11.0,6.0,912,False,True,True,False,False,True
explore10a_forbidden_recommendation_self_check.csv,16,True,True,8.0,5.0,476,False,True,True,False,False,True
explore10a_required_artifact_authority_audit.csv,16,True,True,31.0,13.0,3576,False,True,True,False,False,True
explore10a_threshold_config_consistency_audit.csv,16,True,True,11.0,5.0,646,False,True,True,False,False,True
explore10a_report.md,16,True,True,,,13461,False,True,True,False,False,True
explore10a_automotive_launch_attrition_panel.parquet,17,True,True,1335.0,19.0,17952,True,False,True,False,False,True
explore10a_automotive_failure_attrition_panel.parquet,17,True,True,1335.0,19.0,19346,True,False,True,False,False,True
explore10a_p0_9b_explore10_row_reconciliation_panel.parquet,17,True,True,22492.0,26.0,149871,True,False,True,False,False,True
explore10a_feature_availability_panel.parquet,17,True,True,22492.0,11.0,51623,True,False,True,False,False,True
explore10a_trainability_counterfactual_panel.parquet,17,True,True,1.0,7.0,5180,True,False,True,False,False,True
