target_industry,task,fold_id,sample_width_root_cause_proven_fold_level,sample_width_root_cause_proven_task_level,sample_width_root_cause_proven_phase_level,primary_bottleneck,phase_level_primary_bottleneck,root_cause_evidence_level,unknown_or_unclassified_loss_weight_share,secondary_failure_discipline_violation_count,p0_9b_explore10_reconciliation_status,phase0_pass,allowed_next_gate,blocked_next_gate_reason
汽车,launch_winner,fold_2020,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,no_rows_scope_width,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,launch_winner,fold_2021,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,launch_winner,fold_2022,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,launch_winner,fold_2023,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,launch_winner,fold_2024,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,failure_reject,fold_2020,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,failure_reject,fold_2021,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,failure_reject,fold_2022,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,failure_reject,fold_2023,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
汽车,failure_reject,fold_2024,True,True,True,automotive_scope_width,automotive_scope_width,fold_classified,0.0,0,present_in_both_but_probe_contract_explained,True,stop_single_industry_or_recommend_broader_cohort,root_cause_is_automotive_scope_width
