source_kind,source_id,required_flag,source_path,source_hash,row_count,expected_key_count,matched_key_count,unmatched_key_count,source_status,blocking_flag,missing_required_columns,source_row_filter,scope_mapping_status,reconstructability_status
input,experiment_a_manifest,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/density_fast_fail_audit/density_fast_fail_audit_manifest.json,5890db114330f848de4a6b9a37307540dc69e7dcd32b2214c42a3b8bfa18c3a2,1,,,,available,False,,,,
input,experiment_b_manifest,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/regime_family_matrix/regime_family_matrix_manifest.json,ebbe5513702fcd7dab7937651ad15154bc5149e54148cbf29460e0a805e381c6,1,,,,available,False,,,,
input,experiment_c_manifest,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/risk_on_r_series_bridge_ranker/risk_on_r_series_bridge_ranker_manifest.json,e0851f5d2f521d9c81be6399782099d79d63a97c087ada86fbf723c39f94399f,1,,,,available,False,,,,
input,density_fast_fail_caliber_contract,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_caliber_contract.md,b2a483a46a6f1511ede5fd0b58d8696935a3edf7151a7be9785440f8ff9745b6,1,,,,available,False,,,,
input,density_fast_fail_audit_report,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_audit_report.md,5c56c3b7f95338fd07bf513a3bbfd3ea9ca3106fb71816747f273075f64ae3fb,1,,,,available,False,,,,
input,regime_family_matrix_report,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/regime_family_matrix/regime_family_matrix_report.md,78f640c120ccf7f04bea921d8b44cab84d8e6774c778b08c0bcf0f8e456f5577,1,,,,available,False,,,,
input,risk_on_r_series_bridge_ranker_report,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/risk_on_r_series_bridge_ranker/risk_on_r_series_bridge_ranker_report.md,d3c08f8d296e97c64dadf2d26899d7cbaf48f5259f43cc8afbf6095731c78765,1,,,,available,False,,,,
input,discussion,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/discussion.md,e6253bd9d483739598c966656b58e492123f75189518d0a8c414444a72baed88,1,,,,available,False,,,,
input,requirement,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/requirement_experiment_d_post_replay_event_to_episode_retention_source.md,523382b857b2acc11e408f5dd0e040cc72bc55d4e8dc861cb13cefabeab3ebb5,1,,,,available,False,,,,
input,06_episode_reference,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/local_cache/topn_big_winner_episode_reference.parquet,79fba58bb0fbd45569df9fbce93338dd26259fce0d2bbb8dab2090014d15c07e,2493,,,,available,False,,,,
