source_experiment,source_artifact,source_metric,scope_or_arm_id,split,market_regime_bucket,upstream_value,d_recomputed_pre_replay_value,absolute_diff,tolerance,reconciliation_status,membership_basis,source_partial_flag
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,robustness,transition,0.12,0.12,0.0,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,train,risk_off,0.1826544021024967,0.18265440210249673,2.7755575615628914e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,train,risk_on,0.2177777777777777,0.21777777777777776,5.551115123125783e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,train,transition,0.2302631578947368,0.23026315789473684,2.7755575615628914e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,validation,risk_off,0.1257309941520467,0.12573099415204678,8.326672684688674e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,validation,risk_on,0.1363636363636363,0.13636363636363635,5.551115123125783e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_selected_T4_T7_union,validation,transition,0.0864197530864197,0.08641975308641975,4.163336342344337e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,all,all,0.1203369434416365,,,0.0001,not_comparable_membership_basis,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,robustness,risk_off,0.090146750524109,0.09014675052410902,1.3877787807814457e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
A,candidate_10d_retention_by_split_regime.csv,pre_replay_any_recall,08_T4_gated,robustness,risk_on,0.1104972375690607,0.11049723756906077,6.938893903907228e-17,0.0001,pass,D_replay_anchor_low_to_first_50pct_vs_A_capture_basis,True
