source_kind,source_id,split,market_regime_bucket,window,replay_policy_id,e1_episode_denominator_n,e1_pre_replay_captured_episode_n,e1_post_replay_captured_episode_n,e1_missed_episode_n,source_pre_replay_captures_e1_missed_n,source_post_replay_captures_e1_missed_n,e1_missed_capture_retention,incremental_post_replay_capture_over_e1_n,incremental_post_replay_capture_over_e1_rate,cell_sample_status,retention_source_status
scope,07_E1_only,robustness,risk_off,low_to_first_50pct,pre_replay_capture_only,477,386,386,91,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_first_50pct,post_replay_executable_horizon_complete,477,386,386,91,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_first_50pct,post_replay_non_fast_fail_10d_oracle,477,386,386,91,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_first_50pct,post_replay_non_false_repair_20d_oracle,477,386,386,91,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_first_50pct,post_replay_non_fast_fail_and_non_false_repair_oracle,477,386,386,91,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_high,pre_replay_capture_only,477,396,396,81,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_high,post_replay_executable_horizon_complete,477,396,396,81,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_high,post_replay_non_fast_fail_10d_oracle,477,396,396,81,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_high,post_replay_non_false_repair_20d_oracle,477,396,396,81,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
scope,07_E1_only,robustness,risk_off,low_to_high,post_replay_non_fast_fail_and_non_false_repair_oracle,477,396,396,81,0,0,,0,0.0,diagnostic_only,post_replay_event_membership_materialized
