arm_id,target_regime,arm_family_set,split,market_regime_bucket,window,replay_policy_id,oracle_future_label_used,entry_support_allowed,c_arm_tier,c_arm_final_decision_copy,membership_basis,target_episode_denominator_n,bridge_episode_denominator_n,pre_replay_any_captured_episode_n,post_replay_any_captured_episode_n,pre_replay_any_recall,post_replay_any_recall,any_recall_retention,pre_replay_bridge_captured_episode_n,post_replay_bridge_captured_episode_n,pre_replay_bridge_recall,post_replay_bridge_recall,bridge_recall_retention,e1_missed_pre_replay_capture_n,e1_missed_post_replay_capture_n,e1_missed_capture_retention,selected_event_n,post_replay_event_n,filtered_event_n,filter_drop_rate,cell_sample_status,retention_source_status,post_replay_membership_source_hash
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_first_50pct,pre_replay_capture_only,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_first_50pct,post_replay_executable_horizon_complete,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_first_50pct,post_replay_non_fast_fail_10d_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_first_50pct,post_replay_non_false_repair_20d_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_first_50pct,post_replay_non_fast_fail_and_non_false_repair_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_high,pre_replay_capture_only,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_high,post_replay_executable_horizon_complete,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_high,post_replay_non_fast_fail_10d_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_high,post_replay_non_false_repair_20d_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
baseline_r6_only_risk_on_positive,risk_off,nan,robustness,risk_off,low_to_high,post_replay_non_fast_fail_and_non_false_repair_oracle,True,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,instrument_replay_anchor_inside_materialized_window,477,477,0,0,0.0,0.0,,0,0,0.0,0.0,,0,0,,0,0,0,,diagnostic_only,post_replay_event_membership_materialized_source_caveated_upstream,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e
