target_episode_id,instrument,episode_split,market_regime_bucket,window,window_start_pos,window_end_pos,episode_low_date,first_50pct_touch_date,episode_high_date,episode_window_source_status,denominator_included_flag,window_end_inclusive_flag,source_path,source_hash,source_row_count_before_dedup,dedup_conflict_flag,dedup_conflict_fields
SH600000_20250407_0000,SH600000,robustness,risk_off,low_to_high,2003,2064,2025-04-07,2025-07-01,2025-07-07,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600000_20250407_0000,SH600000,robustness,risk_off,low_to_first_50pct,2003,2060,2025-04-07,2025-07-01,2025-07-07,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600004_20181030_0000,SH600004,train,risk_off,low_to_high,443,548,2018-10-30,2019-03-18,2019-04-04,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600004_20181030_0000,SH600004,train,risk_off,low_to_first_50pct,443,535,2018-10-30,2019-03-18,2019-04-04,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20180209_0000,SH600009,train,risk_off,low_to_high,272,378,2018-02-09,2018-07-13,2018-07-23,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20180209_0000,SH600009,train,risk_off,low_to_first_50pct,272,372,2018-02-09,2018-07-13,2018-07-23,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20181029_0001,SH600009,train,risk_off,low_to_high,442,560,2018-10-29,2019-04-04,2019-04-23,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20181029_0001,SH600009,train,risk_off,low_to_first_50pct,442,548,2018-10-29,2019-04-04,2019-04-23,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20210802_0002,SH600009,train,risk_on,low_to_high,1104,1220,2021-08-02,2022-01-21,2022-01-21,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600009_20210802_0002,SH600009,train,risk_on,low_to_first_50pct,1104,1220,2021-08-02,2022-01-21,2022-01-21,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20201102_0000,SH600010,train,transition,low_to_high,921,1005,2020-11-02,2021-03-02,2021-03-08,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20201102_0000,SH600010,train,transition,low_to_first_50pct,921,1001,2020-11-02,2021-03-02,2021-03-08,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20210428_0001,SH600010,train,transition,low_to_high,1041,1127,2021-04-28,2021-07-14,2021-09-01,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20210428_0001,SH600010,train,transition,low_to_first_50pct,1041,1092,2021-04-28,2021-07-14,2021-09-01,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20220427_0002,SH600010,validation,risk_off,low_to_high,1282,1321,2022-04-27,2022-06-24,2022-06-27,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20220427_0002,SH600010,validation,risk_off,low_to_first_50pct,1282,1320,2022-04-27,2022-06-24,2022-06-27,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20240624_0003,SH600010,robustness,transition,low_to_high,1804,1896,2024-06-24,2024-11-06,2024-11-08,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20240624_0003,SH600010,robustness,transition,low_to_first_50pct,1804,1894,2024-06-24,2024-11-06,2024-11-08,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20250407_0004,SH600010,robustness,risk_off,low_to_high,1994,2090,2025-04-07,2025-07-24,2025-08-25,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20250407_0004,SH600010,robustness,risk_off,low_to_first_50pct,1994,2068,2025-04-07,2025-07-24,2025-08-25,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20250929_0005,SH600010,robustness,risk_on,low_to_high,2115,2211,2025-09-29,2026-03-02,2026-03-02,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600010_20250929_0005,SH600010,robustness,risk_on,low_to_first_50pct,2115,2211,2025-09-29,2026-03-02,2026-03-02,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20200428_0000,SH600011,train,transition,low_to_high,807,885,2020-04-28,2020-08-20,2020-08-21,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20200428_0000,SH600011,train,transition,low_to_first_50pct,807,884,2020-04-28,2020-08-20,2020-08-21,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20210427_0001,SH600011,train,transition,low_to_high,1049,1152,2021-04-27,2021-09-01,2021-09-27,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20210427_0001,SH600011,train,transition,low_to_first_50pct,1049,1136,2021-04-27,2021-09-01,2021-09-27,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20211129_0002,SH600011,train,risk_on,low_to_high,1192,1211,2021-11-29,2021-12-09,2021-12-24,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20211129_0002,SH600011,train,risk_on,low_to_first_50pct,1192,1200,2021-11-29,2021-12-09,2021-12-24,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
SH600011_20220415_0003,SH600011,validation,risk_off,low_to_high,1283,1383,2022-04-15,2022-08-26,2022-09-08,episode_window_ready,True,True,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/candidate_family_capture.parquet,ffc107a57c8612d8537e84f9c28c50708f7cfa3d6978befe276d870580918d81,43,False,
