item,path,needle,present,requires_ep23_adapter
provider_uri,rdagent/scenarios/qlib/experiment/factor_template/conf_baseline.yaml,~/.qlib/qlib_data/cn_data,True,True
market,rdagent/scenarios/qlib/experiment/factor_template/conf_baseline.yaml,market: &market csi300,False,False
conda_runtime,rdagent/utils/env.py,class QlibCondaConf,True,True
