decision_date,arm_id,registered_denominator_n,signal_eligible_n,signal_coverage,decile_eligible,minimum_bucket_n_observed,missing_reason_mode,status
2017-01-06,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-06,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-06,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-06,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-06,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-13,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-13,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-13,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-13,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-13,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-20,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-20,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-20,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-20,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-20,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-26,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-26,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-26,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-26,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-01-26,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-03,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-03,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-03,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-03,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-03,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-10,SRC1_TOTAL_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-10,SRC2_TOTAL_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-10,SRC3_MKT_RESID_CONT_5D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-10,SRC4_MKT_RESID_CONT_10D,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
2017-02-10,SRC5_LOWVOL_20D_COMPARATOR,500,0,0,False,0,calendar_warmup_not_ready,not_evaluable
