access_sequence_id,stage,accessed_at_utc,artifact_path,artifact_sha256_or_root_hash,dataset_role,max_date_read,max_date_contributed,decision_date_context,allowed_by_whitelist,outcome_class,row_count,future_rows_loaded,future_rows_contributed
1,signal-materialization,2026-07-13T09:01:01.163833Z,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_SRC_short_term_residual_continuation_family_diagnostic_v0.building/preoutcome,1368a3b0683e57f95cdfdffb8f9894f1f2315a86e1218f447f09cd4c090fe22b,sealed_preoutcome,2026-05-29,2026-05-29,2026-05-29,True,non_outcome,,0,0
2,signal-materialization,2026-07-13T09:01:01.164141Z,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_SRC_short_term_residual_continuation_family_diagnostic_v0.building/authorizations/signal_materialization_authorization.json,55361db9d781407201286ceeebfe37b911dee0e9858b9c84c6682c1783331a7a,signal_authorization,,,,True,non_outcome,1,0,0
3,signal-materialization,2026-07-13T09:01:01.517072Z,topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,project_universe,2026-05-29,2026-05-22,2026-05-22,True,non_outcome,240000,0,0
4,signal-materialization,2026-07-13T09:01:01.999172Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,26733b0273986589e91290a9c3d00cc3422f486d99c86ed13579d03e1b8b0485,qfq_raw,2026-05-29,2026-05-22,2026-05-22,True,non_outcome,,2062695400,0
5,signal-materialization,2026-07-13T09:01:02.000292Z,topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,benchmark,2026-05-29,2026-05-22,2026-05-22,True,non_outcome,2281,0,0
6,signal-materialization,2026-07-13T09:01:02.000597Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/trading_calendar.csv,1d5ff82a6718fc4e19b95c98456813043b30aeaa1b452d591376b1d427c2b60d,trading_calendar,2026-05-29,2026-05-29,2026-05-29,True,non_outcome,2281,0,0
7,signal-materialization,2026-07-13T09:01:02.000983Z,topics/02_AFML_BIG_WINNER/data/raw/akshare/status/instrument_metadata_target_universe.csv,3175ae478bbfe9729d2b45cc0c8ca373fe903ee8d9acc9a96fed111441452601,security_master_identity_delisting,2026-05-29,2026-05-29,2026-05-29,True,non_outcome,4915,0,0
