oracle_variant_id,signed_drawdown_threshold,defended_step_n,defended_rate,mean_incremental_return,trimmed_mean_incremental_return,topk_removed_mean_min,bootstrap_ci_low_min,threshold_value_decay_vs_08pct,threshold_support_gate,path_risk_support_gate,interpretation
O2_dd_08pct_stress,-0.08,731.0,0.29286858974358976,0.0202131957091492,0.020596395534609,0.0180899336230618,0.0120867486815656,0.0,pass,pass,path_risk_threshold_positive
O2_dd_10pct_primary,-0.1,526.0,0.2107371794871795,0.0185108290944368,0.0182199628099478,0.0164649185003351,0.0113682244275859,-0.0017023666147123993,pass,pass,path_risk_threshold_positive
O2_dd_12pct_stress,-0.12,369.0,0.14783653846153846,0.0152945581980429,0.014644459125589,0.0132875671501933,0.0091729733154375,-0.004918637511106301,pass,pass,path_risk_threshold_positive
O2_dd_15pct_stress,-0.15,211.0,0.08453525641025642,0.0109335637539269,0.0092616975594787,0.0091345304145386,0.0065016422375368,-0.0092796319552223,pass,pass,path_risk_threshold_positive
O2_dd_20pct_stress,-0.2,71.0,0.02844551282051282,0.0055932738761323,0.0032520921424923,0.0041602227043997,0.002510793574634,-0.014619921833016901,pass,pass,path_risk_threshold_positive
