source_phase_id,artifact_key,evidence_metric,observed_value,expected_value,gate_status,feature_gap_component,interpretation
16D,sixteen_d_decision,decision_state,16D_policy_preflight_ready_for_utility_diagnostic,16D_policy_preflight_ready_for_utility_diagnostic,pass,16d_survival_policy_has_negative_risk_power,supports_current_feature_gap
16E,sixteen_e_decision,decision_state,16E_utility_diagnostic_not_supported,16E_utility_diagnostic_not_supported,pass,16e_return_utility_not_supported,supports_current_feature_gap
16E,sixteen_e_six_cell_reconciliation,six_cell_reconciliation_status,pass,pass,pass,16e_six_cell_reconciliation_consistent,supports_current_feature_gap
16E,sixteen_e_decision,drawdown_avoidance_gate,pass,pass,pass,16e_drawdown_reduction_only,supports_current_feature_gap
16E_postmortem,sixteen_e_postmortem_decision,continuation_as_action_mainline_closed,True,True,pass,16e_postmortem_mainline_closed,supports_current_feature_gap
16X,sixteen_x_decision,payoff_separability_gate,fail,fail,pass,16x_payoff_feature_contract_not_supported,supports_current_feature_gap
17C,seventeen_c_decision,oracle_action_value_positive,pass,pass,pass,17c_oracle_action_value_positive,supports_current_feature_gap
