denominator_id,row_n,sample_id_unique_n,sample_key_unique_n,sample_key_duplicate_n,sample_key_uniqueness_status
all,41937,32685,41937,0,pass
risk_off_e1_horizon_complete_readonly,1887,1887,1887,0,pass
risk_on_r6_horizon_complete,9260,9260,9260,0,pass
risk_on_r_core_horizon_complete,30790,30790,30790,0,pass
