column,role,forbidden_feature_flag,status
sample_id,metadata,False,pass
selected_target_id,metadata,False,pass
denominator_id,metadata,False,pass
canonical_event_id,metadata,False,pass
instrument,metadata,False,pass
event_t0_date,metadata,False,pass
event_split,metadata,False,pass
feature_as_of_date,metadata,False,pass
return_10d,feature,False,pass
return_60d,feature,False,pass
stock_vs_market_5d,feature,False,pass
stock_vs_market_10d,feature,False,pass
close_to_high_120,feature,False,pass
direction_entropy_20d,feature,False,pass
ema60_positive_run,feature,False,pass
panel_return_20d_rolling_z_60d,feature,False,pass
panel_return_20d_rolling_pct_60d,feature,False,pass
log_close_fracdiff_d04,feature,False,pass
family_count,feature,False,pass
channel_count,feature,False,pass
raw_cluster_event_count,feature,False,pass
event_family_priority,feature,False,pass
close_to_ema20,feature,False,pass
close_to_ema60,feature,False,pass
ema20_slope_20d,feature,False,pass
ema60_slope_20d,feature,False,pass
return_5d,feature,False,pass
return_20d,feature,False,pass
stock_vs_market_20d,feature,False,pass
stock_vs_board_20d,feature,False,pass
close_to_high_60,feature,False,pass
relative_cusum_20d,feature,False,pass
atr_20_pct,feature,False,pass
atr_pct_rank_60d,feature,False,pass
intraday_range_pct,feature,False,pass
close_position_in_range,feature,False,pass
upper_shadow_pct,feature,False,pass
gap_open_pct,feature,False,pass
range_width_ratio_20d_60d,feature,False,pass
intraday_range_atr_norm,feature,False,pass
return_20d_sigma_norm,feature,False,pass
amount_ratio_20d,feature,False,pass
amount_ratio_60d,feature,False,pass
turnover_ratio_20d,feature,False,pass
turnover_ratio_60d,feature,False,pass
quality_amount_flag,feature,False,pass
market_return_20d,feature,False,pass
market_drawdown_60d,feature,False,pass
market_volatility_20d,feature,False,pass
universe_up_share,feature,False,pass
universe_up_share_z,feature,False,pass
universe_up_share_change_5d,feature,False,pass
board_relative_cusum_20d,feature,False,pass
momentum_percentile_20d,feature,False,pass
prior_event_count_20d,feature,False,pass
prior_event_count_60d,feature,False,pass
