target_component,feature_family,train_group_mda_auc_drop,robustness_group_mda_auc_drop,r6_importance_status
fast_fail_only_10d,FS0_baseline_h_features,0.12223377446101946,0.05627942145634124,not_materialized
fast_fail_only_10d,FS1_event_intrinsic,0.1275691670631819,0.09163599333275751,not_materialized
fast_fail_only_10d,FS2_basis_path_quality,0.2653565076639651,0.2376365749731968,not_materialized
fast_fail_only_10d,FS3_vol_range_stop_distance,0.05696739914079452,0.05491029671203629,not_materialized
fast_fail_only_10d,FS4_amount_volume_vwap_dib,0.10440798581824906,0.09893942610316808,not_materialized
fast_fail_only_10d,FS5_market_industry_riskon_quality,0.06140383282528172,0.06557292730860143,not_materialized
fast_fail_only_10d,FS6_recurrence_local_density,0.00448374729322909,-0.002194938918963496,not_materialized
false_repair_20d_component,FS0_baseline_h_features,0.15980619598507517,0.17886550089760123,not_materialized
false_repair_20d_component,FS1_event_intrinsic,0.022564839969376194,0.01675198106601583,not_materialized
false_repair_20d_component,FS2_basis_path_quality,0.062041065245618476,0.04492199985175316,not_materialized
false_repair_20d_component,FS3_vol_range_stop_distance,0.110110904839545,0.13222242510409243,not_materialized
false_repair_20d_component,FS4_amount_volume_vwap_dib,0.06179737961101883,0.050122601096483255,not_materialized
false_repair_20d_component,FS5_market_industry_riskon_quality,0.03855402616771053,0.043595600054766925,not_materialized
false_repair_20d_component,FS6_recurrence_local_density,0.002742028600342783,0.0014183373249383457,not_materialized
hybrid_cost_bad_10_20,FS0_baseline_h_features,0.16012373433386806,0.1779622940288783,not_materialized
hybrid_cost_bad_10_20,FS1_event_intrinsic,0.0313127573055888,0.029745730285446914,not_materialized
hybrid_cost_bad_10_20,FS2_basis_path_quality,0.06274122788862746,0.05083726264187083,not_materialized
hybrid_cost_bad_10_20,FS3_vol_range_stop_distance,0.08663848931524654,0.09469521604528874,not_materialized
hybrid_cost_bad_10_20,FS4_amount_volume_vwap_dib,0.06704741986255247,0.05986856303648913,not_materialized
hybrid_cost_bad_10_20,FS5_market_industry_riskon_quality,0.04745634439953306,0.037551771753766006,not_materialized
hybrid_cost_bad_10_20,FS6_recurrence_local_density,0.0024259286853184348,0.000420512287876873,not_materialized
