column,dtype,role,forbidden_feature_flag
sample_id,object,sample_key,False
selected_target_id,object,sample_key,False
denominator_id,object,sample_key,False
canonical_event_id,object,metadata,False
instrument,object,metadata,False
event_t0_date,object,metadata,False
event_split,object,metadata,False
feature_as_of_date,object,metadata,False
return_10d,float64,feature,False
return_60d,float64,feature,False
stock_vs_market_5d,float64,feature,False
stock_vs_market_10d,float64,feature,False
close_to_high_120,float64,feature,False
direction_entropy_20d,float64,feature,False
ema60_positive_run,float64,feature,False
panel_return_20d_rolling_z_60d,float64,feature,False
panel_return_20d_rolling_pct_60d,float64,feature,False
log_close_fracdiff_d04,float64,feature,False
family_count,float64,feature,False
channel_count,float64,feature,False
raw_cluster_event_count,float64,feature,False
event_family_priority,float64,feature,False
close_to_ema20,float64,feature,False
close_to_ema60,float64,feature,False
ema20_slope_20d,float64,feature,False
ema60_slope_20d,float64,feature,False
return_5d,float64,feature,False
return_20d,float64,feature,False
stock_vs_market_20d,float64,feature,False
stock_vs_board_20d,float64,feature,False
close_to_high_60,float64,feature,False
relative_cusum_20d,float64,feature,False
atr_20_pct,float64,feature,False
atr_pct_rank_60d,float64,feature,False
intraday_range_pct,float64,feature,False
close_position_in_range,float64,feature,False
upper_shadow_pct,float64,feature,False
gap_open_pct,float64,feature,False
range_width_ratio_20d_60d,float64,feature,False
intraday_range_atr_norm,float64,feature,False
return_20d_sigma_norm,float64,feature,False
amount_ratio_20d,float64,feature,False
amount_ratio_60d,float64,feature,False
turnover_ratio_20d,float64,feature,False
turnover_ratio_60d,float64,feature,False
quality_amount_flag,float64,feature,False
market_return_20d,float64,feature,False
market_drawdown_60d,float64,feature,False
market_volatility_20d,float64,feature,False
universe_up_share,float64,feature,False
universe_up_share_z,float64,feature,False
universe_up_share_change_5d,float64,feature,False
board_relative_cusum_20d,float64,feature,False
momentum_percentile_20d,float64,feature,False
prior_event_count_20d,float64,feature,False
prior_event_count_60d,float64,feature,False
