feature_id,feature_family,raw_source_artifact,as_of_rule,t0_visible_flag,normalization_method,stationarity_status,fracdiff_status,stationary_hygiene_method,industry_pit_status,allowed_for_09C_flag,forbidden_reason,label_mechanism_overlap_type,feature_dtype,feature_as_of_date_rule,transform_fit_scope,missing_value_policy,shared_series
return_10d,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,trailing_return_then_train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
return_60d,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,trailing_return_then_train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
stock_vs_market_5d,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,trailing_relative_return_then_train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
stock_vs_market_10d,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,trailing_relative_return_then_train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
close_to_high_120,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,trailing_ratio_then_train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
direction_entropy_20d,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,rolling_entropy_then_train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
ema60_positive_run,FS0_baseline_h_features,canonical,08H_allowed_event_t0_feature,True,train_z,pass,not_applied,run_length_then_train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
panel_return_20d_rolling_z_60d,FS0_baseline_h_features,feature_panel,feature_panel_latest_same_or_prior_event_t0_date,True,rolling_z_60d_then_train_z,pass,not_applied,rolling_z_score_60d,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,feature_panel,feature_panel_latest_same_or_prior_event_t0_date,True,rolling_percentile_60d_then_train_z,pass,not_applied,rolling_percentile_60d,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
log_close_fracdiff_d04,FS0_baseline_h_features,feature_panel,feature_panel_latest_same_or_prior_event_t0_date,True,fracdiff_d04_then_train_z,pass,applied_d_0.4,selected_fracdiff_log_close_d04,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
family_count,FS1_event_intrinsic,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
channel_count,FS1_event_intrinsic,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
raw_cluster_event_count,FS1_event_intrinsic,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
event_family_priority,FS1_event_intrinsic,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
close_to_ema20,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
close_to_ema60,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
ema20_slope_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
ema60_slope_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
return_5d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
return_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
stock_vs_market_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
stock_vs_board_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
close_to_high_60,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
relative_cusum_20d,FS2_basis_path_quality,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,none,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,
atr_20_pct,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
atr_pct_rank_60d,FS3_vol_range_stop_distance,canonical,canonical_event_t0_snapshot,True,train_z,pass,not_applied,train_z,not_industry_feature,True,,related,float64,feature_as_of_date = event_t0_date,risk_on_r_core_horizon_complete/train,train_median_impute_then_winsorize,range_or_structural_stop_context
