target_component,split,feature_id,feature_family,single_feature_auc,fit_scope,importance_status
fast_fail_only_10d,robustness,return_10d,FS0_baseline_h_features,0.7094359488431954,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,return_10d,FS0_baseline_h_features,0.7134433634804914,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,return_10d,FS0_baseline_h_features,0.6877289735547758,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,return_60d,FS0_baseline_h_features,0.5751057923601511,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,return_60d,FS0_baseline_h_features,0.4863489730792877,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,return_60d,FS0_baseline_h_features,0.4747357585967655,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,stock_vs_market_5d,FS0_baseline_h_features,0.5743691921001997,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,stock_vs_market_5d,FS0_baseline_h_features,0.5796569007585513,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,stock_vs_market_5d,FS0_baseline_h_features,0.5941418467451591,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,stock_vs_market_10d,FS0_baseline_h_features,0.6281007740158387,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,stock_vs_market_10d,FS0_baseline_h_features,0.6753729067369265,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,stock_vs_market_10d,FS0_baseline_h_features,0.6308853457604222,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,close_to_high_120,FS0_baseline_h_features,0.36225397671468246,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,close_to_high_120,FS0_baseline_h_features,0.5070825295604696,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,close_to_high_120,FS0_baseline_h_features,0.43435224474505335,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,direction_entropy_20d,FS0_baseline_h_features,0.600584409250988,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,direction_entropy_20d,FS0_baseline_h_features,0.6029184222163047,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,direction_entropy_20d,FS0_baseline_h_features,0.5514002117541699,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,ema60_positive_run,FS0_baseline_h_features,0.49983572954317385,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,ema60_positive_run,FS0_baseline_h_features,0.6077579267305666,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,ema60_positive_run,FS0_baseline_h_features,0.5247419855428582,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,panel_return_20d_rolling_z_60d,FS0_baseline_h_features,0.6894504321343901,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,panel_return_20d_rolling_z_60d,FS0_baseline_h_features,0.6511240076942154,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,panel_return_20d_rolling_z_60d,FS0_baseline_h_features,0.7179884805619974,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,0.6775311733809176,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,0.6460649054898278,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,0.7080066209364816,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,log_close_fracdiff_d04,FS0_baseline_h_features,0.5308171475583257,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,log_close_fracdiff_d04,FS0_baseline_h_features,0.5184559261484845,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,log_close_fracdiff_d04,FS0_baseline_h_features,0.45869239160008024,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,family_count,FS1_event_intrinsic,0.5413487311296374,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,family_count,FS1_event_intrinsic,0.5013417554799515,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,family_count,FS1_event_intrinsic,0.5377963928157672,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,channel_count,FS1_event_intrinsic,0.536916807880179,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,channel_count,FS1_event_intrinsic,0.4950480417136672,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,channel_count,FS1_event_intrinsic,0.5228421877392286,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,raw_cluster_event_count,FS1_event_intrinsic,0.536916807880179,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,raw_cluster_event_count,FS1_event_intrinsic,0.4950480417136672,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,raw_cluster_event_count,FS1_event_intrinsic,0.5228421877392286,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,event_family_priority,FS1_event_intrinsic,0.5099449642613337,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,event_family_priority,FS1_event_intrinsic,0.5281993292724003,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,event_family_priority,FS1_event_intrinsic,0.48488341003207075,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,close_to_ema20,FS2_basis_path_quality,0.749334440077311,train_only_single_feature_logistic,pass
fast_fail_only_10d,train,close_to_ema20,FS2_basis_path_quality,0.725044091139954,train_only_single_feature_logistic,pass
fast_fail_only_10d,validation,close_to_ema20,FS2_basis_path_quality,0.7368258300510167,train_only_single_feature_logistic,pass
fast_fail_only_10d,robustness,close_to_ema60,FS2_basis_path_quality,0.677285832654034,train_only_single_feature_logistic,pass
