target_component,train_robustness_group_rank_spearman,top3_overlap,stability_status
false_repair_20d_component,0.9642857142857143,2,pass
fast_fail_only_10d,0.8214285714285714,2,pass
hybrid_cost_bad_10_20,1.0,3,pass
