target_component,diagnostic_model_id,estimator,model_config_hash,fit_scope,feature_n,train_row_n,train_positive_rate,weight_horizon_id,model_status
fast_fail_only_10d,logistic_l2_fast_fail_only_10d,sklearn.linear_model.LogisticRegression,6e712ff3cdb49f019c3f88616f8b52dbf7e57632a44d6f41ec6c234b2ab4cd34,risk_on_r_core_horizon_complete/train,48,16603,0.0752875986267542,fast_fail_10d,fit
false_repair_20d_component,logistic_l2_false_repair_20d_component,sklearn.linear_model.LogisticRegression,6e712ff3cdb49f019c3f88616f8b52dbf7e57632a44d6f41ec6c234b2ab4cd34,risk_on_r_core_horizon_complete/train,48,16603,0.38258146118171416,cost_bad_10_20_20d,fit
hybrid_cost_bad_10_20,logistic_l2_hybrid_cost_bad_10_20,sklearn.linear_model.LogisticRegression,6e712ff3cdb49f019c3f88616f8b52dbf7e57632a44d6f41ec6c234b2ab4cd34,risk_on_r_core_horizon_complete/train,48,16603,0.3905318315966994,cost_bad_10_20_20d,fit
