target_component,split,feature_family,baseline_auc,permuted_auc,group_mda_auc_drop,feature_count,importance_status
fast_fail_only_10d,robustness,FS0_baseline_h_features,0.7444711210364612,0.6881916995801199,0.05627942145634124,10,pass
fast_fail_only_10d,robustness,FS1_event_intrinsic,0.7444711210364612,0.6528351277037037,0.09163599333275751,4,pass
fast_fail_only_10d,robustness,FS2_basis_path_quality,0.7444711210364612,0.5068345460632644,0.2376365749731968,10,pass
fast_fail_only_10d,robustness,FS3_vol_range_stop_distance,0.7444711210364612,0.6895608243244249,0.05491029671203629,9,pass
fast_fail_only_10d,robustness,FS4_amount_volume_vwap_dib,0.7444711210364612,0.6455316949332931,0.09893942610316808,5,pass
fast_fail_only_10d,robustness,FS5_market_industry_riskon_quality,0.7444711210364612,0.6788981937278598,0.06557292730860143,8,pass
fast_fail_only_10d,robustness,FS6_recurrence_local_density,0.7444711210364612,0.7466660599554247,-0.002194938918963496,2,pass
fast_fail_only_10d,train,FS0_baseline_h_features,0.8052282391464032,0.6829944646853837,0.12223377446101946,10,pass
fast_fail_only_10d,train,FS1_event_intrinsic,0.8052282391464032,0.6776590720832213,0.1275691670631819,4,pass
fast_fail_only_10d,train,FS2_basis_path_quality,0.8052282391464032,0.539871731482438,0.2653565076639651,10,pass
fast_fail_only_10d,train,FS3_vol_range_stop_distance,0.8052282391464032,0.7482608400056087,0.05696739914079452,9,pass
fast_fail_only_10d,train,FS4_amount_volume_vwap_dib,0.8052282391464032,0.7008202533281541,0.10440798581824906,5,pass
fast_fail_only_10d,train,FS5_market_industry_riskon_quality,0.8052282391464032,0.7438244063211215,0.06140383282528172,8,pass
fast_fail_only_10d,train,FS6_recurrence_local_density,0.8052282391464032,0.8007444918531741,0.00448374729322909,2,pass
fast_fail_only_10d,validation,FS0_baseline_h_features,0.7555792565392685,0.6805185202353087,0.07506073630395982,10,pass
fast_fail_only_10d,validation,FS1_event_intrinsic,0.7555792565392685,0.6281254129780593,0.12745384356120915,4,pass
fast_fail_only_10d,validation,FS2_basis_path_quality,0.7555792565392685,0.5256689451088148,0.2299103114304537,10,pass
fast_fail_only_10d,validation,FS3_vol_range_stop_distance,0.7555792565392685,0.6712702068521821,0.08430904968708641,9,pass
fast_fail_only_10d,validation,FS4_amount_volume_vwap_dib,0.7555792565392685,0.6634419392279216,0.09213731731134689,5,pass
fast_fail_only_10d,validation,FS5_market_industry_riskon_quality,0.7555792565392685,0.716021882311932,0.03955737422733652,8,pass
fast_fail_only_10d,validation,FS6_recurrence_local_density,0.7555792565392685,0.7565699396090972,-0.000990683069828746,2,pass
false_repair_20d_component,robustness,FS0_baseline_h_features,0.7041500626569945,0.5252845617593933,0.17886550089760123,10,pass
false_repair_20d_component,robustness,FS1_event_intrinsic,0.7041500626569945,0.6873980815909787,0.01675198106601583,4,pass
false_repair_20d_component,robustness,FS2_basis_path_quality,0.7041500626569945,0.6592280628052414,0.04492199985175316,10,pass
false_repair_20d_component,robustness,FS3_vol_range_stop_distance,0.7041500626569945,0.5719276375529021,0.13222242510409243,9,pass
false_repair_20d_component,robustness,FS4_amount_volume_vwap_dib,0.7041500626569945,0.6540274615605113,0.050122601096483255,5,pass
false_repair_20d_component,robustness,FS5_market_industry_riskon_quality,0.7041500626569945,0.6605544626022276,0.043595600054766925,8,pass
false_repair_20d_component,robustness,FS6_recurrence_local_density,0.7041500626569945,0.7027317253320562,0.0014183373249383457,2,pass
false_repair_20d_component,train,FS0_baseline_h_features,0.6999510589683807,0.5401448629833056,0.15980619598507517,10,pass
false_repair_20d_component,train,FS1_event_intrinsic,0.6999510589683807,0.6773862189990045,0.022564839969376194,4,pass
false_repair_20d_component,train,FS2_basis_path_quality,0.6999510589683807,0.6379099937227622,0.062041065245618476,10,pass
false_repair_20d_component,train,FS3_vol_range_stop_distance,0.6999510589683807,0.5898401541288357,0.110110904839545,9,pass
false_repair_20d_component,train,FS4_amount_volume_vwap_dib,0.6999510589683807,0.6381536793573619,0.06179737961101883,5,pass
false_repair_20d_component,train,FS5_market_industry_riskon_quality,0.6999510589683807,0.6613970328006702,0.03855402616771053,8,pass
false_repair_20d_component,train,FS6_recurrence_local_density,0.6999510589683807,0.6972090303680379,0.002742028600342783,2,pass
false_repair_20d_component,validation,FS0_baseline_h_features,0.7075650733179679,0.5926563525824505,0.11490872073551739,10,pass
false_repair_20d_component,validation,FS1_event_intrinsic,0.7075650733179679,0.6738943857360522,0.033670687581915715,4,pass
false_repair_20d_component,validation,FS2_basis_path_quality,0.7075650733179679,0.6498052942442498,0.0577597790737181,10,pass
false_repair_20d_component,validation,FS3_vol_range_stop_distance,0.7075650733179679,0.5367667332394495,0.17079834007851846,9,pass
false_repair_20d_component,validation,FS4_amount_volume_vwap_dib,0.7075650733179679,0.639047335208437,0.06851773810953088,5,pass
false_repair_20d_component,validation,FS5_market_industry_riskon_quality,0.7075650733179679,0.6897888459127192,0.017776227405248757,8,pass
false_repair_20d_component,validation,FS6_recurrence_local_density,0.7075650733179679,0.7028684100547762,0.004696663263191736,2,pass
hybrid_cost_bad_10_20,robustness,FS0_baseline_h_features,0.6664075284515942,0.4884452344227159,0.1779622940288783,10,pass
hybrid_cost_bad_10_20,robustness,FS1_event_intrinsic,0.6664075284515942,0.6366617981661473,0.029745730285446914,4,pass
hybrid_cost_bad_10_20,robustness,FS2_basis_path_quality,0.6664075284515942,0.6155702658097234,0.05083726264187083,10,pass
hybrid_cost_bad_10_20,robustness,FS3_vol_range_stop_distance,0.6664075284515942,0.5717123124063055,0.09469521604528874,9,pass
hybrid_cost_bad_10_20,robustness,FS4_amount_volume_vwap_dib,0.6664075284515942,0.6065389654151051,0.05986856303648913,5,pass
hybrid_cost_bad_10_20,robustness,FS5_market_industry_riskon_quality,0.6664075284515942,0.6288557566978282,0.037551771753766006,8,pass
hybrid_cost_bad_10_20,robustness,FS6_recurrence_local_density,0.6664075284515942,0.6659870161637174,0.000420512287876873,2,pass
hybrid_cost_bad_10_20,train,FS0_baseline_h_features,0.6873636518707503,0.5272399175368823,0.16012373433386806,10,pass
hybrid_cost_bad_10_20,train,FS1_event_intrinsic,0.6873636518707503,0.6560508945651615,0.0313127573055888,4,pass
hybrid_cost_bad_10_20,train,FS2_basis_path_quality,0.6873636518707503,0.6246224239821229,0.06274122788862746,10,pass
hybrid_cost_bad_10_20,train,FS3_vol_range_stop_distance,0.6873636518707503,0.6007251625555038,0.08663848931524654,9,pass
hybrid_cost_bad_10_20,train,FS4_amount_volume_vwap_dib,0.6873636518707503,0.6203162320081979,0.06704741986255247,5,pass
hybrid_cost_bad_10_20,train,FS5_market_industry_riskon_quality,0.6873636518707503,0.6399073074712173,0.04745634439953306,8,pass
hybrid_cost_bad_10_20,train,FS6_recurrence_local_density,0.6873636518707503,0.6849377231854319,0.0024259286853184348,2,pass
hybrid_cost_bad_10_20,validation,FS0_baseline_h_features,0.6803303389483008,0.5458637564965129,0.13446658245178789,10,pass
hybrid_cost_bad_10_20,validation,FS1_event_intrinsic,0.6803303389483008,0.6401076153146475,0.0402227236336532,4,pass
hybrid_cost_bad_10_20,validation,FS2_basis_path_quality,0.6803303389483008,0.6140102085956121,0.06632013035268869,10,pass
hybrid_cost_bad_10_20,validation,FS3_vol_range_stop_distance,0.6803303389483008,0.5507280429583494,0.12960229598995132,9,pass
hybrid_cost_bad_10_20,validation,FS4_amount_volume_vwap_dib,0.6803303389483008,0.6320445721942953,0.04828576675400542,5,pass
hybrid_cost_bad_10_20,validation,FS5_market_industry_riskon_quality,0.6803303389483008,0.6628327665755215,0.01749757237277927,8,pass
hybrid_cost_bad_10_20,validation,FS6_recurrence_local_density,0.6803303389483008,0.6781155752812219,0.002214763667078845,2,pass
