target_component,split,removed_feature_family,baseline_auc,ablated_auc,ablation_auc_delta,fit_scope
fast_fail_only_10d,robustness,FS0_baseline_h_features,0.7444711210364612,0.7489711864583296,-0.004500065421868427,train_only_refit_without_family
fast_fail_only_10d,train,FS0_baseline_h_features,0.8052282391464032,0.7988150699513116,0.006413169195091606,train_only_refit_without_family
fast_fail_only_10d,validation,FS0_baseline_h_features,0.7555792565392685,0.7647202738220673,-0.009141017282798813,train_only_refit_without_family
fast_fail_only_10d,robustness,FS1_event_intrinsic,0.7444711210364612,0.7482115785559424,-0.003740457519481266,train_only_refit_without_family
fast_fail_only_10d,train,FS1_event_intrinsic,0.8052282391464032,0.8029550425117006,0.002273196634702601,train_only_refit_without_family
fast_fail_only_10d,validation,FS1_event_intrinsic,0.7555792565392685,0.755001557450707,0.0005776990885615341,train_only_refit_without_family
fast_fail_only_10d,robustness,FS2_basis_path_quality,0.7444711210364612,0.7647067334040895,-0.020235612367628275,train_only_refit_without_family
fast_fail_only_10d,train,FS2_basis_path_quality,0.8052282391464032,0.7908917238483669,0.014336515298036256,train_only_refit_without_family
fast_fail_only_10d,validation,FS2_basis_path_quality,0.7555792565392685,0.7626036250165673,-0.007024368477298815,train_only_refit_without_family
fast_fail_only_10d,robustness,FS3_vol_range_stop_distance,0.7444711210364612,0.7506552324474522,-0.006184111410991067,train_only_refit_without_family
fast_fail_only_10d,train,FS3_vol_range_stop_distance,0.8052282391464032,0.7961295650581363,0.009098674088266923,train_only_refit_without_family
fast_fail_only_10d,validation,FS3_vol_range_stop_distance,0.7555792565392685,0.7393499682502735,0.016229288288994947,train_only_refit_without_family
fast_fail_only_10d,robustness,FS4_amount_volume_vwap_dib,0.7444711210364612,0.740666049871134,0.003805071165327134,train_only_refit_without_family
fast_fail_only_10d,train,FS4_amount_volume_vwap_dib,0.8052282391464032,0.8039496364914434,0.0012786026549598262,train_only_refit_without_family
fast_fail_only_10d,validation,FS4_amount_volume_vwap_dib,0.7555792565392685,0.7540674080419071,0.0015118484973614121,train_only_refit_without_family
fast_fail_only_10d,robustness,FS5_market_industry_riskon_quality,0.7444711210364612,0.7412607629097241,0.0032103581267370895,train_only_refit_without_family
fast_fail_only_10d,train,FS5_market_industry_riskon_quality,0.8052282391464032,0.7984698316606134,0.006758407485789819,train_only_refit_without_family
fast_fail_only_10d,validation,FS5_market_industry_riskon_quality,0.7555792565392685,0.7689387900328284,-0.013359533493559894,train_only_refit_without_family
fast_fail_only_10d,robustness,FS6_recurrence_local_density,0.7444711210364612,0.7502468007243699,-0.005775679687908708,train_only_refit_without_family
fast_fail_only_10d,train,FS6_recurrence_local_density,0.8052282391464032,0.8045001196756354,0.0007281194707677852,train_only_refit_without_family
fast_fail_only_10d,validation,FS6_recurrence_local_density,0.7555792565392685,0.7608050744646637,-0.005225817925395226,train_only_refit_without_family
false_repair_20d_component,robustness,FS0_baseline_h_features,0.7041500626569945,0.7111084236028737,-0.006958360945879205,train_only_refit_without_family
false_repair_20d_component,train,FS0_baseline_h_features,0.6999510589683807,0.6926038612327884,0.007347197735592337,train_only_refit_without_family
false_repair_20d_component,validation,FS0_baseline_h_features,0.7075650733179679,0.7114111288708518,-0.0038460555528838647,train_only_refit_without_family
