feature_id,feature_family,raw_missing_rate,train_mean,train_std,validation_mean,validation_std,robustness_mean,robustness_std,normalization_method,stationary_hygiene_method,stationarity_status,fracdiff_status
return_10d,FS0_baseline_h_features,0.0,-2.210415726194614e-16,1.0000000000000082,-0.27809656366975416,0.76389008117154,-0.0575127666526195,1.1078269343739584,train_z,trailing_return_then_train_z,pass,not_applied
return_60d,FS0_baseline_h_features,0.0,4.279604503764983e-17,0.9999999999999957,-0.3029870527698647,0.7310858835224702,0.06061154586900989,1.0696900073746418,train_z,trailing_return_then_train_z,pass,not_applied
stock_vs_market_5d,FS0_baseline_h_features,0.0,7.489307881588721e-17,0.9999999999999989,-0.13366737156222377,0.7608353621609003,-0.07131262822774928,0.9757271561812243,train_z,trailing_relative_return_then_train_z,pass,not_applied
stock_vs_market_10d,FS0_baseline_h_features,0.0,-1.0955787529638357e-16,1.0,-0.14337394034189654,0.7625774124834852,-0.10782170437161168,1.0022690805564043,train_z,trailing_relative_return_then_train_z,pass,not_applied
close_to_high_120,FS0_baseline_h_features,0.0,1.9001443996716526e-16,1.0000000000000024,-0.13683819229161498,1.0548097615202048,0.11766343860055282,0.8732975137851426,train_z,trailing_ratio_then_train_z,pass,not_applied
direction_entropy_20d,FS0_baseline_h_features,0.0,1.9119133120570062e-15,1.000000000000046,0.1726999174848022,0.8576958271863372,0.03603854357416791,0.9728340404025873,train_z,rolling_entropy_then_train_z,pass,not_applied
ema60_positive_run,FS0_baseline_h_features,0.0,-2.7817429274472394e-17,1.0000000000000338,-0.20760575892382413,0.7732266811840786,0.11366159518454572,0.9486580238012756,train_z,run_length_then_train_z,pass,not_applied
panel_return_20d_rolling_z_60d,FS0_baseline_h_features,0.046716604244694135,-0.005031948486239334,0.9690267214326453,-0.10973019489169922,0.8646649218238911,-0.013143496523925824,1.0485733681137466,rolling_z_60d_then_train_z,rolling_z_score_60d,pass,not_applied
panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,0.046716604244694135,0.020459310531301345,0.9721250553351407,-0.03250454781812397,0.9742382934749987,-0.02447330285577289,0.9966483244937007,rolling_percentile_60d_then_train_z,rolling_percentile_60d,pass,not_applied
log_close_fracdiff_d04,FS0_baseline_h_features,0.04791510611735331,-0.0017215337432850738,0.9680100287759151,0.06086804393016038,1.0163604776124842,0.2776128532184946,0.9935194563898521,fracdiff_d04_then_train_z,selected_fracdiff_log_close_d04,pass,applied_d_0.4
