industry,task,fold_id,fold_role,eligible_row_count,observed_reference_decision_overlap_count,observed_reference_feature_overlap_count,observed_reference_label_measurement_overlap_count,label_measurement_overlap_core_support_count,decision_overlap_used_for_candidate_support,feature_overlap_used_for_candidate_support,label_measurement_overlap_used_for_candidate_support,observed_reference_overlap_pass
汽车,failure_reject,fold_2020,core_oof,1925,0,0,0,0,False,False,False,True
汽车,failure_reject,fold_2021,core_oof,2628,0,0,0,0,False,False,False,True
汽车,failure_reject,fold_2022,core_oof,3158,0,0,0,0,False,False,False,True
汽车,failure_reject,fold_2023,core_oof,3865,0,0,0,0,False,False,False,True
汽车,failure_reject,fold_2024,robustness_audit_only,3957,0,0,0,0,False,False,False,True
汽车,launch_winner,fold_2021,core_oof,807,0,0,0,0,False,False,False,True
汽车,launch_winner,fold_2022,core_oof,1032,0,0,0,0,False,False,False,True
汽车,launch_winner,fold_2023,core_oof,1274,0,0,0,0,False,False,False,True
汽车,launch_winner,fold_2024,robustness_audit_only,1255,0,0,0,0,False,False,False,True
电子,failure_reject,fold_2020,core_oof,2182,0,0,0,0,False,False,False,True
电子,failure_reject,fold_2021,core_oof,3375,0,0,0,0,False,False,False,True
电子,failure_reject,fold_2022,core_oof,4388,0,0,0,0,False,False,False,True
电子,failure_reject,fold_2023,core_oof,5502,0,0,0,0,False,False,False,True
电子,failure_reject,fold_2024,robustness_audit_only,5608,0,0,0,0,False,False,False,True
电子,launch_winner,fold_2021,core_oof,1055,0,0,0,0,False,False,False,True
电子,launch_winner,fold_2022,core_oof,1389,0,0,0,0,False,False,False,True
电子,launch_winner,fold_2023,core_oof,1797,0,0,0,0,False,False,False,True
电子,launch_winner,fold_2024,robustness_audit_only,1815,0,0,0,0,False,False,False,True
