primitive_id,exact_null_identity_available,null_match_level,matched_null_repeat_count,matched_null_candidate_count,matched_null_metric_count,matched_null_support_bucket,matched_null_sparse,null_uninterpretable_due_to_sparse_match,null_match_sparsity_pass
E10P_41657599f0942ef0,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_f46eee6116c63ab8,False,same_task_token_count_family_count,52,52,52,pooled,False,False,True
E10P_e6f52d9324c6a727,False,same_task_token_count_family_count,49,49,49,pooled,False,False,True
E10P_cf61e9054d156ad0,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_f8bf03977ccb0605,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_e29a233d92b7b379,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_bb42a0750e30134b,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_142a778df32a23ea,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_9c79e23c5fca0637,False,same_task_token_count_family_count,50,50,50,pooled,False,False,True
E10P_ef521a3405e83c04,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_f3f8655223d7d8e7,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_64cb9f4db02128b1,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_9ff91ebee7502bb1,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_b29ffe810eea70b7,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_d7154207365dd303,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_305afe134571b6c1,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_09f2dcaff0129d10,False,same_task_token_count_family_count,40,40,40,pooled,False,False,True
E10P_8d5af32ad9c4e205,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_ad8e26ba785e4393,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_fe33c1590e70aaef,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_879debc6ecc62833,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_d152b83338d2d3f7,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_2a8dd91b01c9bc7b,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_17ebd2141911e2dd,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_3532ed7757d7d96d,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_c13f22bd41698048,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_d6c82c36903f135a,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_b6abc3da5e1ed502,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_3ad97fa9d86be3df,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_542b7c158a299684,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_56e0294ee8229902,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_035f75c66ca6af86,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_afcfe299be7e2156,False,same_task_token_count_family_count,75,75,75,pooled,False,False,True
E10P_18c59a8b0ea4d8b0,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_fbc505e2279705a9,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_1c7fb66503e4a518,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_11bcc105568782e4,False,same_task_token_count_family_count,53,53,53,pooled,False,False,True
E10P_33e137e657941b7a,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_b5c5f956ce71d883,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_bfbfe8713bfd5816,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_eaf45c51d3fe347c,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_393a0903ecddc5d6,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_5b155243c948f3c4,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_56e76a63f8e95934,False,same_task_token_count_family_count,60,60,60,pooled,False,False,True
E10P_e7813e8d95a95984,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_821bfa560d95ffda,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_262092b494790e95,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
E10P_ef96ca2290c458a9,False,same_task_token_count_family_count,80,80,80,pooled,False,False,True
