industry,task,fold_id,baseline_name,event_count,positive_count,weighted_positive_rate
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
电子,failure_reject,fold_2020,industry_task_fold_baseline,1027,366,0.4527456393373958
电子,failure_reject,fold_2021,industry_task_fold_baseline,1200,633,0.5736149640457191
电子,failure_reject,fold_2022,industry_task_fold_baseline,1039,606,0.7023441613397531
电子,failure_reject,fold_2023,industry_task_fold_baseline,1043,541,0.44445076643134734
