primitive_id,industry,task,fold_id,baseline_name,candidate_event_count,baseline_event_count,candidate_positive_rate,baseline_positive_rate,lift
E10P_ef521a3405e83c04,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,436,1027,0.5763119500036765,0.4527456393373958,1.2729265616939414
E10P_ef521a3405e83c04,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,578,1200,0.6687688243436376,0.5736149640457191,1.1658845501986144
E10P_ef521a3405e83c04,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,393,1039,0.829889738790802,0.7023441613397531,1.1815998259425264
E10P_ef521a3405e83c04,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,131,1043,0.647150723889867,0.44445076643134734,1.456068416949912
E10P_f3f8655223d7d8e7,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,356,1027,0.27504780717055377,0.4527456393373958,0.6075106710538237
E10P_f3f8655223d7d8e7,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,630,1200,0.5544162827689441,0.5736149640457191,0.9665303688359761
E10P_f3f8655223d7d8e7,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,622,1039,0.644270474550457,0.7023441613397531,0.917314487702841
E10P_f3f8655223d7d8e7,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,498,1043,0.6347979338339823,0.44445076643134734,1.4282750346703186
E10P_64cb9f4db02128b1,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,344,1027,0.35858922670748267,0.4527456393373958,0.7920324251654565
E10P_64cb9f4db02128b1,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,556,1200,0.6047494891000815,0.5736149640457191,1.0542777420497713
E10P_64cb9f4db02128b1,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,517,1039,0.6710424410335545,0.7023441613397531,0.9554325044199283
E10P_64cb9f4db02128b1,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,505,1043,0.6524652321504327,0.44445076643134734,1.4680258904474555
E10P_9ff91ebee7502bb1,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,601,1027,0.4891513757250826,0.4527456393373958,1.080411014981762
E10P_9ff91ebee7502bb1,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,758,1200,0.601553722170059,0.5736149640457191,1.0487064666641317
E10P_9ff91ebee7502bb1,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,730,1039,0.7332668438837723,0.7023441613397531,1.044027820328189
E10P_9ff91ebee7502bb1,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,447,1043,0.6840087179307135,0.44445076643134734,1.5389977239163335
E10P_b29ffe810eea70b7,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,449,1027,0.31951601438102156,0.4527456393373958,0.7057296340802773
E10P_b29ffe810eea70b7,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,612,1200,0.5371633544516783,0.5736149640457191,0.9364528265843227
E10P_b29ffe810eea70b7,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,550,1039,0.7362499742559053,0.7023441613397531,1.0482752114739238
E10P_b29ffe810eea70b7,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,550,1043,0.39985281936023287,0.44445076643134734,0.8996560464296031
E10P_d7154207365dd303,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,562,1027,0.5096503109521646,0.4527456393373958,1.1256879507399566
E10P_d7154207365dd303,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,658,1200,0.6141331490467987,0.5736149640457191,1.0706365550774757
E10P_d7154207365dd303,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,633,1039,0.7653849788550002,0.7023441613397531,1.08975772987846
E10P_d7154207365dd303,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,444,1043,0.7068232430570037,0.44445076643134734,1.590329675280657
E10P_305afe134571b6c1,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,411,1027,0.3620110553458896,0.4527456393373958,0.7995903745769954
E10P_305afe134571b6c1,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,441,1200,0.49293519979341394,0.5736149640457191,0.8593485712379799
E10P_305afe134571b6c1,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,334,1039,0.7500440913716429,0.7023441613397531,1.0679153222273536
E10P_305afe134571b6c1,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,457,1043,0.4031441893020501,0.44445076643134734,0.9070615234597019
E10P_09f2dcaff0129d10,电子,failure_reject,fold_2020,candidate_scope_weighted_baseline,6,1027,0.3888815764201973,0.4527456393373958,0.858940523401473
E10P_09f2dcaff0129d10,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,
E10P_09f2dcaff0129d10,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,0,1039,,0.7023441613397531,
