feature_family,dropout_role,lgbm_rerun_required,used_to_select_primitive,used_to_change_feature_bank,used_to_change_lgbm_config,used_to_change_threshold_bucket,used_to_change_candidate_formula,feature_family_dropout_pass
cross_section_rank,diagnostic_only,False,False,False,False,False,False,True
industry_market_context,diagnostic_only,False,False,False,False,False,False,True
kbar_candle_shape,diagnostic_only,False,False,False,False,False,False,True
launch_lifecycle_context,diagnostic_only,False,False,False,False,False,False,True
price_distance,diagnostic_only,False,False,False,False,False,False,True
rolling_return,diagnostic_only,False,False,False,False,False,False,True
volatility_range,diagnostic_only,False,False,False,False,False,False,True
volume_money,diagnostic_only,False,False,False,False,False,False,True
