artifact_name,referenced_section,listed_in_section_26,exists_at_manifest_path,manifest_row_count,manifest_col_count,manifest_file_size,is_cache_artifact,is_report_artifact,cache_parquet_ignored_by_git,row_level_csv_generated_by_default,row_level_csv_tracked_by_git,pass
explore10_run_manifest.json,26,True,True,,,22684,False,True,True,False,False,True
explore10_scope_lock.csv,26,True,True,,,5853,False,True,True,False,False,True
explore10_label_dictionary.csv,26,True,True,,,805,False,True,True,False,False,True
explore10_atomic_feature_dictionary.csv,26,True,True,,,55563,False,True,True,False,False,True
explore10_feature_bank_preflight_audit.csv,26,True,True,,,1336,False,True,True,False,False,True
explore10_feature_asof_leakage_audit.csv,26,True,True,,,2843,False,True,True,False,False,True
explore10_observed_reference_overlap_audit.csv,26,True,True,,,1831,False,True,True,False,False,True
explore10_walk_forward_purge_audit.csv,26,True,True,,,1790,False,True,True,False,False,True
explore10_fold_trainability_audit.csv,26,True,True,,,5728,False,True,True,False,False,True
explore10_lgbm_diagnostic_metrics.csv,26,True,True,,,5039,False,True,True,False,False,True
explore10_lgbm_feature_importance.csv,26,True,True,,,145201,False,True,True,False,False,True
explore10_lgbm_raw_path_dump.csv,26,True,True,,,2408987,False,True,True,False,False,True
explore10_path_threshold_quantile_audit.csv,26,True,True,,,670181,False,True,True,False,False,True
explore10_path_pattern_canonicalization.csv,26,True,True,,,379142,False,True,True,False,False,True
explore10_path_pattern_fold_presence.csv,26,True,True,,,97392,False,True,True,False,False,True
explore10_candidate_freeze_audit.csv,26,True,True,,,20324,False,True,True,False,False,True
explore10_atomic_primitive_candidate_table.csv,26,True,True,,,113149,False,True,True,False,False,True
explore10_p0_9b_high_score_coverage_audit.csv,26,True,True,,,27709,False,True,True,False,False,True
explore10_primitive_token_coverage_audit.csv,26,True,True,,,47711,False,True,True,False,False,True
explore10_primitive_real_metric_audit.csv,26,True,True,,,23763,False,True,True,False,False,True
explore10_industry_task_fold_baseline.csv,26,True,True,,,30378,False,True,True,False,False,True
explore10_candidate_scope_weighted_baseline.csv,26,True,True,,,52546,False,True,True,False,False,True
explore10_baseline_sparsity_audit.csv,26,True,True,,,18924,False,True,True,False,False,True
explore10_path_structure_null_audit.csv,26,True,True,,,2374161,False,True,True,False,False,True
explore10_label_permutation_null_audit.csv,26,True,True,,,2388783,False,True,True,False,False,True
explore10_instrument_year_block_null_audit.csv,26,True,True,,,2262382,False,True,True,False,False,True
explore10_placebo_stress_audit.csv,26,True,True,,,33224,False,True,True,False,False,True
explore10_search_bias_summary.csv,26,True,True,,,214,False,True,True,False,False,True
explore10_null_match_sparsity_audit.csv,26,True,True,,,9759,False,True,True,False,False,True
explore10_candidate_level_null_aggregation.csv,26,True,True,,,22680,False,True,True,False,False,True
explore10_slice_stability_audit.csv,26,True,True,,,6156,False,True,True,False,False,True
explore10_concentration_audit.csv,26,True,True,,,18748,False,True,True,False,False,True
explore10_failure_event_dedup_audit.csv,26,True,True,,,6030,False,True,True,False,False,True
explore10_feature_family_dropout_audit.csv,26,True,True,,,823,False,True,True,False,False,True
explore10_manualizability_audit.csv,26,True,True,,,8928,False,True,True,False,False,True
explore10_audit_pass_taxonomy.csv,26,True,True,,,6093,False,True,True,False,False,True
explore10_metric_nonselection_audit.csv,26,True,True,,,478,False,True,True,False,False,True
explore10_threshold_nonselection_audit.csv,26,True,True,,,32597,False,True,True,False,False,True
explore10_forbidden_recommendation_self_check.csv,26,True,True,,,564,False,True,True,False,False,True
explore10_required_artifact_authority_audit.csv,26,True,True,,,2083,False,True,True,False,False,True
explore10_threshold_config_consistency_audit.csv,26,True,True,,,3333,False,True,True,False,False,True
explore10_atomic_primitive_rejection_summary.csv,26,True,True,,,22444,False,True,True,False,False,True
explore10_secondary_failure_diagnostic_map.csv,26,True,True,,,11573,False,True,True,False,False,True
explore10_next_requirement_candidate_map.csv,26,True,True,,,315,False,True,True,False,False,True
explore10_report.md,26,True,True,,,15820,False,True,True,False,False,True
explore10_atomic_launch_event_panel.parquet,26,True,True,,,5870948,True,False,True,False,False,True
explore10_atomic_failure_decision_panel.parquet,26,True,True,,,16125962,True,False,True,False,False,True
explore10_lgbm_train_eval_panel.parquet,26,True,True,,,22625804,True,False,True,False,False,True
explore10_lgbm_model_dump.parquet,26,True,True,,,331525,True,False,True,False,False,True
explore10_full_path_candidate_panel.parquet,26,True,True,,,42710,True,False,True,False,False,True
