relaxed_feature_set_pattern_id,industry,task,feature_family_set,feature_name_set,operator_direction_set,quantile_bucket_set,path_count,supporting_fold_count,path_train_weighted_support,candidate_rank_score_train_only
c0f2ceda1f68d5b1,电子,failure_reject,industry_market_context;volume_money,industry_relative_strength_vs_market_60d;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q40;q60,5,1,4106.0211774039435,9292.021177403944
e12e2aab19f37aaf,电子,failure_reject,industry_market_context;price_distance;volume_money,close_over_median_40;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q40,3,1,3419.693750789226,8216.693750789225
30eccb33291a53f3,电子,failure_reject,industry_market_context;price_distance;volume_money,close_over_ma_20;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q10;q40,3,2,3351.914732963992,7529.914732963992
8e78d0edaf3d4870,电子,failure_reject,industry_market_context;price_distance;volume_money,close_over_ma_20;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q60,3,1,2817.6844478632675,6759.684447863267
d23ae3e8642edae2,电子,failure_reject,price_distance;volatility_range,close_over_median_40;high_vol_destructive_ratio;volatility_return_std_60,greater_than;less_than,q10;q40;q95,3,1,2278.204076161273,5913.204076161273
5f9c2c30c3f51789,电子,failure_reject,industry_market_context;price_distance;volume_money,close_over_median_40;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q50,2,1,2555.8873942449845,5543.8873942449845
1c1bcd480ae4853a,电子,failure_reject,price_distance;volatility_range;volume_money,close_over_max_high_10;volatility_return_std_10;volume_price_divergence_10,greater_than;less_than,q10;q50;q95,2,1,2177.7490026404394,5289.749002640439
83acf6aa76af6aca,电子,failure_reject,rolling_return;volatility_range,amplitude_60;atr_like_20;ret_60d,greater_than;less_than,q20;q95,1,1,2100.9574183527775,4973.9574183527775
f807c0f9451c93e4,电子,failure_reject,industry_market_context;price_distance;volume_money,distance_to_high_120;market_volatility_regime;money_price_coherence_60,greater_than;less_than,q05;q40;q95,2,1,2247.0291177734484,4909.029117773449
ea2f693a7387e548,电子,failure_reject,cross_section_rank;industry_market_context,market_volatility_regime;ret_20d_market_rank;ret_60d_market_rank,greater_than,q10;q30;q50,2,1,2137.7913002376054,4874.791300237605
