primitive_id,real_oof_metric,null_repeat_id,null_candidate_id_or_match_family,null_oof_metric,exact_null_identity_available,null_match_level,matched_null_repeat_count,matched_null_metric_count,empirical_p_value,null_p95,fdr_q_value,candidate_level_null_pass,per_fold_p_value_average_used,best_fold_only_null_used,per_fold_null_pass_count_used_as_candidate_pass
E10P_41657599f0942ef0,0.9092120067975369,pooled,negative_control_placebo_context,1.006200325271481,False,same_task_token_count_family_count,60,60,0.9016393442622951,1.1087338009352163,0.9016393442622951,False,False,False,False
E10P_f46eee6116c63ab8,1.0709774212304202,pooled,negative_control_placebo_context,1.0055618027898654,False,same_task_token_count_family_count,52,52,0.3584905660377358,1.537941671302285,0.3584905660377358,False,False,False,False
E10P_e6f52d9324c6a727,1.0753361253671565,pooled,negative_control_placebo_context,1.0386609787472643,False,same_task_token_count_family_count,49,49,0.32,1.519867357137967,0.32,False,False,False,False
E10P_cf61e9054d156ad0,0.8505321190784761,pooled,negative_control_placebo_context,0.9974723204203463,False,same_task_token_count_family_count,60,60,0.9836065573770492,1.0553839381061796,0.9836065573770492,False,False,False,False
E10P_f8bf03977ccb0605,1.2157925386556587,pooled,negative_control_placebo_context,1.004095468162884,False,same_task_token_count_family_count,80,80,0.024691358024691357,1.1072856507742654,0.024691358024691357,True,False,False,False
E10P_e29a233d92b7b379,0.7992930836115789,pooled,negative_control_placebo_context,1.0228324423294493,False,same_task_token_count_family_count,60,60,0.9836065573770492,1.1673365484208607,0.9836065573770492,False,False,False,False
E10P_bb42a0750e30134b,1.0209266605775826,pooled,negative_control_placebo_context,1.0017357574461792,False,same_task_token_count_family_count,80,80,0.38271604938271603,1.0838098206442064,0.38271604938271603,False,False,False,False
E10P_142a778df32a23ea,1.0535404679232414,pooled,negative_control_placebo_context,1.0039240355510752,False,same_task_token_count_family_count,80,80,0.13580246913580246,1.1030322875129919,0.13580246913580246,False,False,False,False
E10P_9c79e23c5fca0637,1.1904627561373353,pooled,negative_control_placebo_context,0.8402585057340084,False,same_task_token_count_family_count,50,50,0.23529411764705882,1.489609316452329,0.23529411764705882,False,False,False,False
E10P_ef521a3405e83c04,1.2691198386962486,pooled,negative_control_placebo_context,0.998088208183859,False,same_task_token_count_family_count,80,80,0.012345679012345678,1.1292611844830927,0.012345679012345678,True,False,False,False
E10P_f3f8655223d7d8e7,0.9799076405657399,pooled,negative_control_placebo_context,1.0018564988690144,False,same_task_token_count_family_count,80,80,0.7037037037037037,1.1128114297399128,0.7037037037037037,False,False,False,False
E10P_64cb9f4db02128b1,1.067442140520653,pooled,negative_control_placebo_context,1.011714928765398,False,same_task_token_count_family_count,80,80,0.12345679012345678,1.1012544087140888,0.12345679012345678,False,False,False,False
E10P_9ff91ebee7502bb1,1.178035756472604,pooled,negative_control_placebo_context,0.9993203294555641,False,same_task_token_count_family_count,80,80,0.012345679012345678,1.0775153750722493,0.012345679012345678,True,False,False,False
E10P_b29ffe810eea70b7,0.8975284296420317,pooled,negative_control_placebo_context,0.9959247108159021,False,same_task_token_count_family_count,80,80,0.9753086419753086,1.075021547997961,0.9753086419753086,False,False,False,False
E10P_d7154207365dd303,1.2191029777441373,pooled,negative_control_placebo_context,1.002627317379771,False,same_task_token_count_family_count,80,80,0.012345679012345678,1.0864638502599495,0.012345679012345678,True,False,False,False
E10P_305afe134571b6c1,0.9084789478755078,pooled,negative_control_placebo_context,0.9988649039271718,False,same_task_token_count_family_count,80,80,0.9382716049382716,1.0698894431581494,0.9382716049382716,False,False,False,False
E10P_09f2dcaff0129d10,0.8877129259349081,pooled,negative_control_placebo_context,0.9530412594027087,False,same_task_token_count_family_count,40,40,0.7560975609756098,1.5150281578221654,0.7560975609756098,False,False,False,False
E10P_8d5af32ad9c4e205,0.7814373608648396,pooled,negative_control_placebo_context,1.004103146349364,False,same_task_token_count_family_count,80,80,1.0,1.1321023860019899,1.0,False,False,False,False
E10P_ad8e26ba785e4393,1.2696070845908154,pooled,negative_control_placebo_context,1.0172218636181445,False,same_task_token_count_family_count,80,80,0.024691358024691357,1.1832399316110442,0.024691358024691357,True,False,False,False
E10P_fe33c1590e70aaef,1.2418991794044127,pooled,negative_control_placebo_context,0.9797514194977769,False,same_task_token_count_family_count,80,80,0.024691358024691357,1.0747193616964124,0.024691358024691357,True,False,False,False
E10P_879debc6ecc62833,1.0655599743087172,pooled,negative_control_placebo_context,0.9992531850081736,False,same_task_token_count_family_count,80,80,0.13580246913580246,1.09426036687094,0.13580246913580246,False,False,False,False
