industry,task,fold_id,feature_name,feature_family,importance_gain,importance_split,gain_share_within_fold,split_share_within_fold,allowed_for_path_extraction,allowed_for_primitive_formula,used_for_feature_selection,used_for_candidate_ranking,diagnostic_only
电子,launch_winner,fold_2021,body_pct,kbar_candle_shape,0.8288580179214478,1,0.00021822694551397546,0.0031746031746031746,True,True,False,False,True
电子,launch_winner,fold_2021,close_open_return,kbar_candle_shape,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,gap_close_pct,kbar_candle_shape,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,gap_open_pct,kbar_candle_shape,378.49269442260265,22,0.09965193412779046,0.06984126984126984,True,True,False,False,True
电子,launch_winner,fold_2021,high_close_ratio,kbar_candle_shape,20.6829891204834,4,0.005445547297932561,0.012698412698412698,True,True,False,False,True
电子,launch_winner,fold_2021,intraday_range_pct,kbar_candle_shape,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,low_close_ratio,kbar_candle_shape,3.989029884338379,1,0.001050256845443982,0.0031746031746031746,True,True,False,False,True
电子,launch_winner,fold_2021,open_close_ratio,kbar_candle_shape,94.70661914348602,5,0.024934953597320505,0.015873015873015872,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_10d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_120d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_1d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_20d,rolling_return,67.25349950790405,7,0.017706923810112036,0.022222222222222223,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_2d,rolling_return,10.563199996948242,1,0.0027811456490075418,0.0031746031746031746,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_3d,rolling_return,27.018630027770996,3,0.007113634633973504,0.009523809523809525,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_40d,rolling_return,56.03345966339111,5,0.01475284124003161,0.015873015873015872,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_5d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,close_over_close_60d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_10d,rolling_return,0.02932799980044365,1,7.721660014262964e-06,0.0031746031746031746,True,True,False,False,True
电子,launch_winner,fold_2021,ret_120d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_1d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_20d,rolling_return,11.550509929656982,2,0.0030410908099784725,0.006349206349206349,True,True,False,False,True
电子,launch_winner,fold_2021,ret_2d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_3d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_40d,rolling_return,29.991990089416504,3,0.007896479548466012,0.009523809523809525,True,True,False,False,True
电子,launch_winner,fold_2021,ret_5d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,ret_60d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_acceleration_20_60,rolling_return,9.622235983610153,8,0.0025334027328151047,0.025396825396825397,True,True,False,False,True
电子,launch_winner,fold_2021,return_acceleration_5_20,rolling_return,15.156679630279541,2,0.003990545821278719,0.006349206349206349,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_10d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_120d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_1d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_20d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_2d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
电子,launch_winner,fold_2021,return_slope_3d,rolling_return,0.0,0,0.0,0.0,True,True,False,False,True
