selection_surface,candidate_stage,metric_name,metric_available_before_candidate_freeze,metric_used_for_feature_bank_edit,metric_used_for_path_filter,metric_used_for_candidate_ranking,metric_used_for_threshold_choice,metric_used_for_recommendation,allowed_gate_only_usage,violation_count,pass
feature_bank,pre_model,validation_metric,False,False,False,False,False,False,True,0,True
candidate,post_freeze_gate,oof_lift_null_placebo,False,False,False,False,False,False,True,0,True
