primitive_id,feature_name,threshold_source,threshold_bucket,raw_threshold_used_in_formula,validation_metric_used_to_choose_threshold,p0_9b_score_coverage_used_to_choose_threshold,threshold_declared_before_oof_metric,train_fold_quantile_used,violation_count,pass
E10P_41657599f0942ef0,market_volatility_regime,train_fold_quantile_bucket,q60,False,False,False,True,True,0,True
E10P_41657599f0942ef0,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_41657599f0942ef0,industry_relative_strength_vs_market_60d,train_fold_quantile_bucket,q40,False,False,False,True,True,0,True
E10P_f46eee6116c63ab8,market_volatility_regime,train_fold_quantile_bucket,q40,False,False,False,True,True,0,True
E10P_f46eee6116c63ab8,close_over_median_40,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_f46eee6116c63ab8,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_e6f52d9324c6a727,market_volatility_regime,train_fold_quantile_bucket,q40,False,False,False,True,True,0,True
E10P_e6f52d9324c6a727,close_over_ma_20,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_e6f52d9324c6a727,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_cf61e9054d156ad0,market_volatility_regime,train_fold_quantile_bucket,q60,False,False,False,True,True,0,True
E10P_cf61e9054d156ad0,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_cf61e9054d156ad0,close_over_ma_20,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_f8bf03977ccb0605,volatility_return_std_60,train_fold_quantile_bucket,q40,False,False,False,True,True,0,True
E10P_f8bf03977ccb0605,high_vol_destructive_ratio,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_f8bf03977ccb0605,close_over_median_40,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_e29a233d92b7b379,market_volatility_regime,train_fold_quantile_bucket,q50,False,False,False,True,True,0,True
E10P_e29a233d92b7b379,close_over_median_40,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_e29a233d92b7b379,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_bb42a0750e30134b,volatility_return_std_10,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_bb42a0750e30134b,volume_price_divergence_10,train_fold_quantile_bucket,q50,False,False,False,True,True,0,True
E10P_bb42a0750e30134b,close_over_max_high_10,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_142a778df32a23ea,amplitude_60,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_142a778df32a23ea,ret_60d,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_142a778df32a23ea,atr_like_20,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_9c79e23c5fca0637,market_volatility_regime,train_fold_quantile_bucket,q40,False,False,False,True,True,0,True
E10P_9c79e23c5fca0637,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_9c79e23c5fca0637,distance_to_high_120,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_ef521a3405e83c04,ret_60d_market_rank,train_fold_quantile_bucket,q50,False,False,False,True,True,0,True
E10P_ef521a3405e83c04,market_volatility_regime,train_fold_quantile_bucket,q30,False,False,False,True,True,0,True
E10P_ef521a3405e83c04,ret_20d_market_rank,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_f3f8655223d7d8e7,amplitude_60,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_f3f8655223d7d8e7,ret_60d,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_f3f8655223d7d8e7,atr_like_10,train_fold_quantile_bucket,q90,False,False,False,True,True,0,True
E10P_64cb9f4db02128b1,amplitude_60,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_64cb9f4db02128b1,industry_relative_strength_vs_market_20d,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_64cb9f4db02128b1,atr_like_10,train_fold_quantile_bucket,q90,False,False,False,True,True,0,True
E10P_9ff91ebee7502bb1,amplitude_60,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_9ff91ebee7502bb1,intraday_range_pct,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_9ff91ebee7502bb1,ret_10d_market_rank,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_b29ffe810eea70b7,range_expansion_ratio_20_60,train_fold_quantile_bucket,q60,False,False,False,True,True,0,True
E10P_b29ffe810eea70b7,atr_like_20,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_b29ffe810eea70b7,ret_10d_market_rank,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_d7154207365dd303,amplitude_60,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_d7154207365dd303,industry_relative_strength_vs_market_20d,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_d7154207365dd303,intraday_range_pct,train_fold_quantile_bucket,q20,False,False,False,True,True,0,True
E10P_305afe134571b6c1,range_expansion_ratio_20_60,train_fold_quantile_bucket,q50,False,False,False,True,True,0,True
E10P_305afe134571b6c1,industry_relative_strength_vs_market_20d,train_fold_quantile_bucket,q10,False,False,False,True,True,0,True
E10P_305afe134571b6c1,atr_like_20,train_fold_quantile_bucket,q95,False,False,False,True,True,0,True
E10P_09f2dcaff0129d10,market_volatility_regime,train_fold_quantile_bucket,q30,False,False,False,True,True,0,True
E10P_09f2dcaff0129d10,money_price_coherence_60,train_fold_quantile_bucket,q05,False,False,False,True,True,0,True
E10P_09f2dcaff0129d10,atr20_pct,train_fold_quantile_bucket,q90,False,False,False,True,True,0,True
E10P_8d5af32ad9c4e205,ret_60d_market_rank,train_fold_quantile_bucket,q50,False,False,False,True,True,0,True
