industry,task,fold_id,raw_train_rows,train_rows_after_purge,validation_rows,train_label_window_end_date_max,validation_start_date,rows_with_train_label_window_end_crossing_validation,rows_with_event_effective_date_crossing_validation,rows_with_feature_asof_crossing_validation,event_effective_date_open_used_as_feature_count,walk_forward_purge_pass
汽车,failure_reject,fold_2020,1443,1320,605,2020-12-07,2020-01-01,1,0,0,0,True
汽车,failure_reject,fold_2021,2116,1993,635,2021-10-21,2021-01-01,1,0,0,0,True
汽车,failure_reject,fold_2022,2762,2516,642,2022-09-21,2022-01-01,1,0,0,0,True
汽车,failure_reject,fold_2023,3393,3114,751,2023-12-04,2023-01-01,1,0,0,0,True
汽车,failure_reject,fold_2024,4230,3951,6,2024-12-26,2024-01-01,1,0,0,0,True
汽车,launch_winner,fold_2021,620,601,206,2021-06-28,2021-01-01,1,0,0,0,True
汽车,launch_winner,fold_2022,865,819,213,2022-08-03,2022-01-01,1,0,0,0,True
汽车,launch_winner,fold_2023,1064,1018,256,2023-07-04,2023-01-01,1,0,0,0,True
汽车,launch_winner,fold_2024,1300,1254,1,2024-07-08,2024-01-01,1,0,0,0,True
电子,failure_reject,fold_2020,1256,1155,1027,2020-11-10,2020-01-01,1,0,0,0,True
电子,failure_reject,fold_2021,2301,2175,1200,2024-04-15,2021-01-01,1,0,0,0,True
电子,failure_reject,fold_2022,3742,3349,1039,2024-12-25,2022-01-01,1,0,0,0,True
电子,failure_reject,fold_2023,5028,4459,1043,2024-12-25,2023-01-01,1,0,0,0,True
电子,failure_reject,fold_2024,6337,5592,16,2024-12-31,2024-01-01,1,0,0,0,True
电子,launch_winner,fold_2021,661,643,412,2021-07-29,2021-01-01,1,0,0,0,True
电子,launch_winner,fold_2022,1092,1033,356,2024-12-30,2022-01-01,1,0,0,0,True
电子,launch_winner,fold_2023,1524,1425,372,2024-12-30,2023-01-01,1,0,0,0,True
电子,launch_winner,fold_2024,1941,1811,4,2024-12-30,2024-01-01,1,0,0,0,True
