primitive_id,fold_id,candidate_baseline_missing_row_rate,candidate_baseline_missing_weight_share,candidate_baseline_sparse_cell_weight_share,baseline_missing_pass,baseline_sparsity_pass
E10P_41657599f0942ef0,fold_2020,0.0,0.0,0.0,True,True
E10P_41657599f0942ef0,fold_2021,0.0,0.0,0.0,True,True
E10P_41657599f0942ef0,fold_2022,0.0,0.0,0.0,True,True
E10P_41657599f0942ef0,fold_2023,0.0,0.0,0.0,True,True
E10P_f46eee6116c63ab8,fold_2020,0.0,0.0,0.0,True,True
E10P_f46eee6116c63ab8,fold_2021,0.0,0.0,0.0,True,True
E10P_f46eee6116c63ab8,fold_2022,0.0,0.0,0.0,True,True
E10P_f46eee6116c63ab8,fold_2023,0.0,0.0,0.0,True,True
E10P_e6f52d9324c6a727,fold_2020,0.0,0.0,0.0,True,True
E10P_e6f52d9324c6a727,fold_2021,0.0,0.0,0.0,True,True
E10P_e6f52d9324c6a727,fold_2022,0.0,0.0,0.0,True,True
E10P_e6f52d9324c6a727,fold_2023,0.0,0.0,0.0,True,True
E10P_cf61e9054d156ad0,fold_2020,0.0,0.0,0.0,True,True
E10P_cf61e9054d156ad0,fold_2021,0.0,0.0,0.0,True,True
E10P_cf61e9054d156ad0,fold_2022,0.0,0.0,0.0,True,True
E10P_cf61e9054d156ad0,fold_2023,0.0,0.0,0.0,True,True
E10P_f8bf03977ccb0605,fold_2020,0.0,0.0,0.0,True,True
E10P_f8bf03977ccb0605,fold_2021,0.0,0.0,0.0,True,True
E10P_f8bf03977ccb0605,fold_2022,0.0,0.0,0.0,True,True
E10P_f8bf03977ccb0605,fold_2023,0.0,0.0,0.0,True,True
E10P_e29a233d92b7b379,fold_2020,0.0,0.0,0.0,True,True
E10P_e29a233d92b7b379,fold_2021,0.0,0.0,0.0,True,True
E10P_e29a233d92b7b379,fold_2022,0.0,0.0,0.0,True,True
E10P_e29a233d92b7b379,fold_2023,0.0,0.0,0.0,True,True
E10P_bb42a0750e30134b,fold_2020,0.0,0.0,0.0,True,True
E10P_bb42a0750e30134b,fold_2021,0.0,0.0,0.0,True,True
E10P_bb42a0750e30134b,fold_2022,0.0,0.0,0.0,True,True
E10P_bb42a0750e30134b,fold_2023,0.0,0.0,0.0,True,True
E10P_142a778df32a23ea,fold_2020,0.0,0.0,0.0,True,True
E10P_142a778df32a23ea,fold_2021,0.0,0.0,0.0,True,True
E10P_142a778df32a23ea,fold_2022,0.0,0.0,0.0,True,True
E10P_142a778df32a23ea,fold_2023,0.0,0.0,0.0,True,True
E10P_9c79e23c5fca0637,fold_2020,0.0,0.0,0.0,True,True
E10P_9c79e23c5fca0637,fold_2021,0.0,0.0,0.0,True,True
