primitive_id,uses_lgbm_score,uses_leaf_id,uses_model_probability,uses_validation_tuned_threshold,uses_raw_numeric_threshold,uses_train_fold_quantile_bucket,has_formula_text_resolved,has_feature_asof_rule,has_effective_date_rule,has_reference_price_rule,recomputable_from_pit_ohlcv_and_industry,manualizability_pass
E10P_41657599f0942ef0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_f46eee6116c63ab8,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e6f52d9324c6a727,False,False,False,False,False,True,True,True,True,True,True,True
E10P_cf61e9054d156ad0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_f8bf03977ccb0605,False,False,False,False,False,True,True,True,True,True,True,True
E10P_e29a233d92b7b379,False,False,False,False,False,True,True,True,True,True,True,True
E10P_bb42a0750e30134b,False,False,False,False,False,True,True,True,True,True,True,True
E10P_142a778df32a23ea,False,False,False,False,False,True,True,True,True,True,True,True
E10P_9c79e23c5fca0637,False,False,False,False,False,True,True,True,True,True,True,True
E10P_ef521a3405e83c04,False,False,False,False,False,True,True,True,True,True,True,True
E10P_f3f8655223d7d8e7,False,False,False,False,False,True,True,True,True,True,True,True
E10P_64cb9f4db02128b1,False,False,False,False,False,True,True,True,True,True,True,True
E10P_9ff91ebee7502bb1,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b29ffe810eea70b7,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d7154207365dd303,False,False,False,False,False,True,True,True,True,True,True,True
E10P_305afe134571b6c1,False,False,False,False,False,True,True,True,True,True,True,True
E10P_09f2dcaff0129d10,False,False,False,False,False,True,True,True,True,True,True,True
E10P_8d5af32ad9c4e205,False,False,False,False,False,True,True,True,True,True,True,True
E10P_ad8e26ba785e4393,False,False,False,False,False,True,True,True,True,True,True,True
E10P_fe33c1590e70aaef,False,False,False,False,False,True,True,True,True,True,True,True
E10P_879debc6ecc62833,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d152b83338d2d3f7,False,False,False,False,False,True,True,True,True,True,True,True
E10P_2a8dd91b01c9bc7b,False,False,False,False,False,True,True,True,True,True,True,True
E10P_17ebd2141911e2dd,False,False,False,False,False,True,True,True,True,True,True,True
E10P_3532ed7757d7d96d,False,False,False,False,False,True,True,True,True,True,True,True
E10P_c13f22bd41698048,False,False,False,False,False,True,True,True,True,True,True,True
E10P_d6c82c36903f135a,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b6abc3da5e1ed502,False,False,False,False,False,True,True,True,True,True,True,True
E10P_3ad97fa9d86be3df,False,False,False,False,False,True,True,True,True,True,True,True
E10P_542b7c158a299684,False,False,False,False,False,True,True,True,True,True,True,True
E10P_56e0294ee8229902,False,False,False,False,False,True,True,True,True,True,True,True
E10P_035f75c66ca6af86,False,False,False,False,False,True,True,True,True,True,True,True
E10P_afcfe299be7e2156,False,False,False,False,False,True,True,True,True,True,True,True
E10P_18c59a8b0ea4d8b0,False,False,False,False,False,True,True,True,True,True,True,True
E10P_fbc505e2279705a9,False,False,False,False,False,True,True,True,True,True,True,True
E10P_1c7fb66503e4a518,False,False,False,False,False,True,True,True,True,True,True,True
E10P_11bcc105568782e4,False,False,False,False,False,True,True,True,True,True,True,True
E10P_33e137e657941b7a,False,False,False,False,False,True,True,True,True,True,True,True
E10P_b5c5f956ce71d883,False,False,False,False,False,True,True,True,True,True,True,True
E10P_bfbfe8713bfd5816,False,False,False,False,False,True,True,True,True,True,True,True
E10P_eaf45c51d3fe347c,False,False,False,False,False,True,True,True,True,True,True,True
E10P_393a0903ecddc5d6,False,False,False,False,False,True,True,True,True,True,True,True
E10P_5b155243c948f3c4,False,False,False,False,False,True,True,True,True,True,True,True
E10P_56e76a63f8e95934,False,False,False,False,False,True,True,True,True,True,True,True
