primitive_id,industry,task,candidate_generation_stage,feature_bank_source_hash,resolved_feature_dictionary_hash,candidate_extraction_config_hash,canonicalization_config_hash,candidate_formula_hash,candidate_frozen_before_oof_support,candidate_frozen_before_oof_metric,candidate_frozen_before_p0_9b_score_coverage,oof_support_used_for_candidate_filter,p0_9b_score_used_for_candidate_filter,validation_metric_used_for_candidate_filter,fold_2024_used_for_candidate_filter,pass
E10P_41657599f0942ef0,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,f3c5cf944463709b,True,True,True,False,False,False,False,True
E10P_f46eee6116c63ab8,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,ab3aa78d200225db,True,True,True,False,False,False,False,True
E10P_e6f52d9324c6a727,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,4f61c1f6fcaeacab,True,True,True,False,False,False,False,True
E10P_cf61e9054d156ad0,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,ff3b407f74623f92,True,True,True,False,False,False,False,True
E10P_f8bf03977ccb0605,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,82a88f3cd499ee48,True,True,True,False,False,False,False,True
E10P_e29a233d92b7b379,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,de42d1ce3cb0236e,True,True,True,False,False,False,False,True
E10P_bb42a0750e30134b,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,9e2e96303f104818,True,True,True,False,False,False,False,True
E10P_142a778df32a23ea,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,14316cf9818fb6af,True,True,True,False,False,False,False,True
E10P_9c79e23c5fca0637,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,d953b504b5a026ac,True,True,True,False,False,False,False,True
E10P_ef521a3405e83c04,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,564b0d643afbe35f,True,True,True,False,False,False,False,True
E10P_f3f8655223d7d8e7,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,f549b8616107a8e0,True,True,True,False,False,False,False,True
E10P_64cb9f4db02128b1,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,630dcb61ecc75aad,True,True,True,False,False,False,False,True
E10P_9ff91ebee7502bb1,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,b74be8c2942448e4,True,True,True,False,False,False,False,True
E10P_b29ffe810eea70b7,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,dad4ecb2de7f0c26,True,True,True,False,False,False,False,True
E10P_d7154207365dd303,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,2864bc4c1af6d5ca,True,True,True,False,False,False,False,True
E10P_305afe134571b6c1,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,70eb937c7406e44e,True,True,True,False,False,False,False,True
E10P_09f2dcaff0129d10,电子,failure_reject,train_path_canonicalization,d9c1d97f8bfce23e,7c0a566f0a7f4765,1f9055901b70428f,18f2179d858d1365,30fb79e5a670a1a6,True,True,True,False,False,False,False,True
