primitive_id,industry,task,raw_window_row_count,dedup_event_count,duplicate_window_row_count,window_weight_summed_after_dedup,retained_weight_source,failure_event_level_dedup_pass
E10P_41657599f0942ef0,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_f46eee6116c63ab8,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_e6f52d9324c6a727,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_cf61e9054d156ad0,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_f8bf03977ccb0605,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_e29a233d92b7b379,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_bb42a0750e30134b,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_142a778df32a23ea,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_9c79e23c5fca0637,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_ef521a3405e83c04,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_f3f8655223d7d8e7,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_64cb9f4db02128b1,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_9ff91ebee7502bb1,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_b29ffe810eea70b7,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_d7154207365dd303,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_305afe134571b6c1,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_09f2dcaff0129d10,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_8d5af32ad9c4e205,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_ad8e26ba785e4393,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_fe33c1590e70aaef,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_879debc6ecc62833,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_d152b83338d2d3f7,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_2a8dd91b01c9bc7b,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_17ebd2141911e2dd,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_3532ed7757d7d96d,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_c13f22bd41698048,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_d6c82c36903f135a,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_b6abc3da5e1ed502,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_3ad97fa9d86be3df,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_542b7c158a299684,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_56e0294ee8229902,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_035f75c66ca6af86,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_afcfe299be7e2156,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_18c59a8b0ea4d8b0,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_fbc505e2279705a9,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_1c7fb66503e4a518,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_11bcc105568782e4,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_33e137e657941b7a,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_b5c5f956ce71d883,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_bfbfe8713bfd5816,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_eaf45c51d3fe347c,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_393a0903ecddc5d6,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_5b155243c948f3c4,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_56e76a63f8e95934,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_e7813e8d95a95984,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_821bfa560d95ffda,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_262092b494790e95,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_ef96ca2290c458a9,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_1d51cf825614d006,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
E10P_449b1397e9794a47,电子,failure_reject,24652,2693,21959,False,earliest_failure_decision_effective_date_row,True
