threshold_name,referenced_in_requirement,present_in_config,config_value,used_by_runtime,marked_unused_diagnostic,alias_of,alias_target_present,threshold_alias_mismatch,pass
min_train_event_count,True,True,200.0,True,False,,True,False,True
min_train_positive_count,True,True,20.0,True,False,,True,False,True
min_validation_event_count,True,True,30.0,True,False,,True,False,True
min_validation_positive_count,True,True,5.0,True,False,,True,False,True
min_distinct_instruments,True,True,20.0,True,False,,True,False,True
min_distinct_instrument_years,True,True,20.0,True,False,,True,False,True
min_feature_available_count,True,True,50.0,True,False,,True,False,True
min_prediction_uniqueness,True,True,10.0,True,False,,True,False,True
min_prediction_std,True,True,1e-06,True,False,,True,False,True
min_used_feature_count,True,True,2.0,True,False,,True,False,True
max_feature_missing_weight_share,True,True,0.2,True,False,,True,False,True
max_feature_family_missing_weight_share,True,True,0.35,True,False,,True,False,True
max_constant_feature_rate,True,True,0.25,True,False,,True,False,True
max_feature_family_share,True,True,0.45,True,False,,True,False,True
max_duplicate_feature_cluster_count,True,True,50.0,True,False,,True,False,True
min_feature_weighted_std,True,True,1e-12,True,False,,True,False,True
min_feature_distinct_value_count,True,True,3.0,True,False,,True,False,True
min_primitive_oof_support_count,True,True,30.0,True,False,,True,False,True
min_primitive_weighted_support,True,True,30.0,True,False,,True,False,True
min_supporting_core_folds,True,True,2.0,True,False,,True,False,True
min_supporting_validation_years,True,True,2.0,True,False,,True,False,True
min_supporting_primary_slices,True,True,2.0,True,False,,True,False,True
min_baseline_cell_event_count,True,True,50.0,True,False,,True,False,True
min_baseline_cell_positive_count,True,True,5.0,True,False,,True,False,True
max_candidate_baseline_missing_row_rate,True,True,0.05,True,False,,True,False,True
max_candidate_baseline_missing_weight_share,True,True,0.05,True,False,,True,False,True
max_candidate_baseline_sparse_cell_weight_share,True,True,0.2,True,False,,True,False,True
max_top1_instrument_contribution,True,True,0.2,True,False,,True,False,True
max_top5_instrument_contribution,True,True,0.5,True,False,,True,False,True
max_top_instrument_year_contribution,True,True,0.12,True,False,,True,False,True
max_instrument_year_hhi,True,True,0.08,True,False,,True,False,True
max_regime_hhi,True,True,0.6,True,False,,True,False,True
max_top1_regime_contribution,True,True,0.75,True,False,,True,False,True
max_empirical_p_value,True,True,0.1,True,False,,True,False,True
max_fdr_q_value,True,True,0.2,True,False,,True,False,True
max_weak_empirical_p_value,True,True,0.25,True,False,,True,False,True
min_null_metric_count_for_candidate_p_value,True,True,30.0,True,False,,True,False,True
min_null_repeat_count_for_promotion,True,True,20.0,True,False,,True,False,True
max_placebo_stable_candidate_count,True,True,0.0,True,False,,True,False,True
max_placebo_equal_or_stronger_candidate_count,True,True,0.0,True,False,,True,False,True
max_false_reject_vs_launch_target_rate,True,True,0.2,True,False,,True,False,True
max_pending_winner_coverage_loss,True,True,0.25,True,False,,True,False,True
min_drawdown_avoided_vs_matched_delay,True,True,0.0,True,False,,True,False,True
