split,seed_family_id,reference_type,big_winner_reference_count,captured_big_winner_count,missed_big_winner_count,primary_big_winner_seed_recall,bridge_ep2_big_winner_seed_recall,late_capture_0_to_10_count,seed_recall_diff_vs_ep2_detector
train,ep4_money_ratio20_1_money_ratio5_2_rps5_50_seed_v0,primary_big_winner_50h120_close_confirmed,446,254,192,0.5695067264573991,,0,0.32062780269058294
train,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,446,111,335,0.24887892376681614,,0,0.0
validation,ep4_money_ratio20_1_money_ratio5_2_rps5_50_seed_v0,primary_big_winner_50h120_close_confirmed,158,80,78,0.5063291139240507,,0,0.3987341772151899
validation,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,158,17,141,0.10759493670886076,,0,0.0
robustness,ep4_money_ratio20_1_money_ratio5_2_rps5_50_seed_v0,primary_big_winner_50h120_close_confirmed,241,125,116,0.5186721991701245,,0,0.32365145228215775
robustness,ep2_launch_detector_v0_bridge,primary_big_winner_50h120_close_confirmed,241,47,194,0.1950207468879668,,0,0.0
