family,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count,instrument_sample_class
vwap_deviation,train_oof_unseen,1,SH601600,0.01657217390490418,0.1564808431005614,143,full_valid_instrument
vwap_deviation,train_oof_unseen,1,SH600332,0.01035990010790018,0.012103838190794712,91,full_valid_instrument
vwap_deviation,train_oof_unseen,1,SH603259,-0.006391169542782688,0.03203184922751012,132,full_valid_instrument
vwap_deviation,train_oof_unseen,1,SH601066,-0.004233858286597996,0.03511084551931009,127,full_valid_instrument
vwap_deviation,train_oof_unseen,1,SH600570,0.02169345741218963,0.12107085721228815,114,full_valid_instrument
vwap_deviation,train_oof_unseen,1,SH600809,0.010873583129183571,0.10987974289861081,105,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600016,0.0017872976558753982,0.03071425810798725,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600019,-0.002390246998678785,0.04758749482527146,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600104,0.0067166191002738,0.11397014877798056,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600115,0.00315729792858971,0.07088430061599026,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600383,0.0024100979971375842,0.11512677798392083,99,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600519,0.0011931034625143875,0.007291475746878213,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600606,0.016705779435147255,0.10526143565720585,191,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600660,-0.0017810643010368896,0.004915872103405418,186,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600741,-0.019793830470283075,-0.10174118847070263,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601169,0.006192284672942582,0.09513267901278119,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601288,0.007797396489483648,0.12918901258277618,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601318,0.00774921783681627,0.18484329303763677,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601669,0.001953414371327607,0.07567994007442884,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601727,-0.005302321476271946,0.03559560923703026,137,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601888,0.009624271350072018,0.0746153049271251,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601899,0.020145912176455987,0.0950279002480022,191,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ001979,-9.966832792053862e-05,0.03971229293809939,185,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ002304,0.0104570600139539,-0.012934998286702422,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ002594,-0.013068060556164319,-0.1736678115213286,196,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ000002,0.005072905485443589,0.045315626630727315,194,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH600011,0.006840877733131919,0.05846714457291358,193,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SZ000651,0.006029187280147677,0.08787970776921052,181,full_valid_instrument
vwap_deviation,train_oof_unseen,2,SH601933,0.0027300452344347294,-0.04173479298162624,156,full_valid_instrument
