family,split,decile,event_count,mean_label_self_relative_H3,aggregate_oof_unseen_decile_monotonicity_score,middle_state_violently_inverted_flag
vwap_deviation,train_oof_unseen,1,2265,-0.0050145573249063425,0.8909090909090909,False
vwap_deviation,train_oof_unseen,2,2532,-0.002447840451119069,0.8909090909090909,False
vwap_deviation,train_oof_unseen,3,2681,-0.003022016958793719,0.8909090909090909,False
vwap_deviation,train_oof_unseen,4,2824,-0.0015417526462180838,0.8909090909090909,False
vwap_deviation,train_oof_unseen,5,2834,-0.0019359930345128982,0.8909090909090909,False
vwap_deviation,train_oof_unseen,6,2886,-0.0026527406474021772,0.8909090909090909,False
vwap_deviation,train_oof_unseen,7,2905,-0.00043351410335783284,0.8909090909090909,False
vwap_deviation,train_oof_unseen,8,2999,-0.00042593187029537813,0.8909090909090909,False
vwap_deviation,train_oof_unseen,9,3054,0.00037005044761106423,0.8909090909090909,False
vwap_deviation,train_oof_unseen,10,3090,0.0027451544747655893,0.8909090909090909,False
vwap_deviation,validation_oof_unseen,1,1192,-0.0037104817774045494,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,2,1528,-0.002923673889719843,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,3,1722,-0.0028960701260714755,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,4,1803,-0.0034298365681831137,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,5,1850,-0.002627459047488383,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,6,1965,-0.00037725554589203113,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,7,2057,0.0004570885341771768,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,8,2111,-0.0008020574685416601,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,9,2415,-0.00025737307305230816,0.7818181818181817,False
vwap_deviation,validation_oof_unseen,10,2998,-0.0025899632184570687,0.7818181818181817,False
vwap_deviation,robustness_oof_unseen,1,1828,-0.0027576126523194975,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,2,2392,-0.0009779995587367212,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,3,2333,0.00047867209383616006,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,4,2392,0.0020114219176725506,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,5,2230,0.002887909146501273,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,6,2171,0.003109505699071021,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,7,2054,0.003313687846822543,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,8,1860,0.0026556706466930305,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,9,1582,0.005394686428562363,0.9272727272727272,False
vwap_deviation,robustness_oof_unseen,10,1426,0.00586479016931183,0.9272727272727272,False
volume_price_correlation,train_oof_unseen,1,2647,-0.002372531126616425,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,2,2730,-0.0034034450376427177,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,3,2806,-0.0017753080923135548,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,4,2841,-0.0010364492645866719,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,5,2838,-0.00147232862844068,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,6,2888,-0.0007044970954282224,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,7,2895,0.0005840679767130163,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,8,2878,-0.0005999611981905818,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,9,2825,0.0001282112255328946,0.49090909090909085,False
volume_price_correlation,train_oof_unseen,10,2722,-0.0024592538687049185,0.49090909090909085,False
volume_price_correlation,validation_oof_unseen,1,1811,-0.002663609279965548,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,2,1910,-0.0031409562520912687,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,3,1891,-0.0028266741748806945,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,4,2130,-0.001930623412735422,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,5,2110,-0.002189569129845655,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,6,2212,-0.00020363691701650796,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,7,2178,-0.0009589954838744236,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,8,2007,-0.0009332483008523086,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,9,1861,-0.0014694278114802818,0.7212121212121211,False
volume_price_correlation,validation_oof_unseen,10,1531,-0.0017996906546419546,0.7212121212121211,False
volume_price_correlation,robustness_oof_unseen,1,2179,-0.005777360596776217,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,2,2212,-0.0004457807096257875,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,3,2015,0.0013935733223225122,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,4,2073,0.0019933805310000754,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,5,2041,0.0022460535426374346,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,6,2040,0.0027809194608651657,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,7,2071,0.003935312353327719,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,8,1894,0.004223138107723349,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,9,1912,0.0059811824694346325,0.9878787878787878,False
volume_price_correlation,robustness_oof_unseen,10,1831,0.005010733933855832,0.9878787878787878,False
