family,train_oof_unseen_mean_spread,validation_oof_unseen_mean_spread,validation_oof_unseen_median_spread,validation_positive_year_count,validation_negative_year_mean_spread,validation_vs_train_non_deterioration_pass,robustness_oof_unseen_mean_spread,robustness_oof_unseen_median_spread,robustness_positive_year_count,robustness_actual_evaluable_year_count,robustness_vs_train_non_deterioration_pass,time_transfer_gate_pass
vwap_deviation,0.002498719163421334,0.0026379405727972394,0.002381379103695012,1,-0.0002115813354105,True,0.002483688627618092,0.0028077160265981053,2,2,True,True
volume_price_correlation,0.00033847525956291714,0.00030064553311617674,0.0014245792863785338,1,-0.0019632838801793,True,0.001908867449542278,0.0011532262433440895,2,2,True,True
