family,split,fold_id,contribution_scope,contribution_denominator,contribution_denominator_zero,top1_instrument_id,top1_instrument_event_count,top1_instrument_contribution_share,top5_instrument_contribution_share,top1_industry,top1_industry_contribution_share,top1_industry_universe_weight,top1_industry_contribution_minus_universe_weight,top1_industry_contribution_to_weight_ratio
vwap_deviation,train_oof_unseen,aggregate,aggregate_oof_unseen,113.51960566100227,False,SH600406,73,0.0174307805213071,0.07741911583419891,sw_801080,0.0958748235000112,0.0736373352333452,0.022237488266665995,1.3019865968288895
vwap_deviation,validation_oof_unseen,aggregate,aggregate_oof_unseen,92.60040970083105,False,SH600010,35,0.04061849179932624,0.1251064697153219,sw_801730,0.09856943738105574,0.07143220813604195,0.027137229245013786,1.3799018671427767
vwap_deviation,robustness_oof_unseen,aggregate,aggregate_oof_unseen,90.73195342988254,False,SH601727,42,0.020074995273857685,0.0880909895742887,sw_801790,0.1271631985210511,0.10203276100256561,0.025130437518485482,1.246297730959702
volume_price_correlation,train_oof_unseen,aggregate,aggregate_oof_unseen,108.4957750264044,False,SH600406,65,0.02316198648204099,0.08993315485634128,sw_801790,0.10883706189582448,0.12190951193444959,-0.013072450038625102,0.8927692365329613
volume_price_correlation,validation_oof_unseen,aggregate,aggregate_oof_unseen,76.54226287477668,False,SZ002050,35,0.021035786164123896,0.08888826675009784,sw_801790,0.13959656268941084,0.1008604449875261,0.038736117701884745,1.3840565814147998
volume_price_correlation,robustness_oof_unseen,aggregate,aggregate_oof_unseen,102.56326336047074,False,SH601788,43,0.01668739460608737,0.07099838421335167,sw_801790,0.14311432458843748,0.10203276100256561,0.041081563585871866,1.4026311077168525
