family,fold_id,split,unseen_fold,fold_unseen_mean_spread,fold_unseen_median_spread,fold_unseen_pooled_high_minus_low_spread,fold_unseen_positive_instrument_share,fold_unseen_positive_date_share,fold_unseen_valid_instrument_count,fold_unseen_full_valid_instrument_count,fold_unseen_partial_event_only_instrument_count,fold_unseen_valid_signal_date_count,fold_unseen_within_stock_rankIC_median,fold_unseen_decile_monotonicity_score,fold_unseen_top1_instrument_contribution_share,fold_unseen_top5_instrument_contribution_share,fold_unseen_top1_industry_contribution_share
vwap_deviation,0,train_oof_unseen,0,0.006597377470842831,0.006396134269494851,0.0061050866189701165,0.84,0.5526315789473685,25,25,11,38,0.10858022316275492,0.9393939393939393,0.07899893185709309,0.2962285393171306,0.12086088376579497
vwap_deviation,1,train_oof_unseen,1,0.00035227618559252946,-0.0007907337318563811,0.0027688481580421496,0.5483870967741935,0.46511627906976744,31,31,12,43,0.03511084551931009,0.6363636363636362,0.056927035803991194,0.24646275110393595,0.16623018414123925
vwap_deviation,2,train_oof_unseen,2,0.0017871019484041201,0.00646470223262899,0.0029877504583019337,0.7096774193548387,0.6,31,31,9,40,0.05846714457291358,0.6121212121212121,0.07824968570033697,0.312310663848436,0.20781002111096064
vwap_deviation,3,train_oof_unseen,3,0.008336526801038779,0.012836668841681977,0.00841209668359527,0.7931034482758621,0.6585365853658537,29,29,22,41,0.08369254000251103,0.7696969696969697,0.07053691955074642,0.26396849574594605,0.16215356667127442
vwap_deviation,4,train_oof_unseen,4,0.001882358622743612,-0.001347317689739243,0.005898526521825568,0.696969696969697,0.43478260869565216,33,33,6,46,0.05666081165396197,0.8666666666666665,0.07112388650454543,0.2846521947785218,0.1025041242697788
vwap_deviation,0,validation_oof_unseen,0,0.0016027553539296271,0.00892649684786042,8.655552349491223e-06,0.3793103448275862,0.6,29,29,9,35,0.017641170807592012,0.38181818181818183,0.11341621668315767,0.38360392466267584,0.16256437700240192
vwap_deviation,1,validation_oof_unseen,1,0.002219170845015169,0.0021979591658729727,0.0011672186722537035,0.4722222222222222,0.5238095238095238,36,36,7,42,-0.0033471682956219035,0.41818181818181815,0.11580892064657741,0.38672307781723714,0.1588019720248355
vwap_deviation,2,validation_oof_unseen,2,3.937532074701109e-05,0.000673664820569892,0.0018064044809338444,0.6216216216216216,0.5161290322580645,37,37,7,31,0.03350356074951067,0.28484848484848485,0.06410317211713493,0.25257992443242727,0.13266104408968085
vwap_deviation,3,validation_oof_unseen,3,0.0019331261271356643,0.0017945847590170863,0.0009480782754752648,0.5365853658536586,0.54,41,41,6,50,0.018562302148317302,0.19999999999999998,0.17506147142240125,0.37723581744790813,0.17506147142240125
vwap_deviation,4,validation_oof_unseen,4,0.005768660331926637,0.008985354317749418,0.004602990819559369,0.5789473684210527,0.65,38,38,1,40,0.051737755833663635,0.6969696969696969,0.1028597943476226,0.3880706455188372,0.2021174550333257
vwap_deviation,0,robustness_oof_unseen,0,0.0015595821062126321,-0.001047645438162834,0.008369912931864046,0.65625,0.4782608695652174,32,32,3,23,0.03062880243937082,0.5515151515151515,0.07959358799298391,0.3126201055052564,0.11657235279720944
vwap_deviation,1,robustness_oof_unseen,1,0.0010211395775736026,-0.0011925706557467577,0.008820114772591129,0.7619047619047619,0.47619047619047616,42,42,3,42,0.07060475309862137,0.9515151515151514,0.08058635639502933,0.3130210315148172,0.23187790552330004
vwap_deviation,2,robustness_oof_unseen,2,0.002075765148828039,0.0007128512566733289,0.002191519123099478,0.5,0.5675675675675675,34,34,5,37,0.06875279189826464,0.9272727272727272,0.08986746329583396,0.32332533259631513,0.17051472030636555
vwap_deviation,3,robustness_oof_unseen,3,0.0015324607784226423,0.00030442573317748974,0.007649043754689233,0.7727272727272727,0.5306122448979592,44,44,7,49,0.0861007288621495,0.8545454545454544,0.08961253573491719,0.3002178998450495,0.18895866072427436
vwap_deviation,4,robustness_oof_unseen,4,0.002266424825304826,0.0019495122124714923,0.010191730331417851,0.75,0.5405405405405406,36,36,2,37,0.058863110754250755,0.7696969696969697,0.07391653122190386,0.33462570530854363,0.14103446663108268
volume_price_correlation,0,train_oof_unseen,0,-0.0029375690002299173,-0.0019513624923839902,0.0037705984554950714,0.56,0.47619047619047616,25,25,11,21,0.06203850723151639,0.43030303030303024,0.07280825601326708,0.3212003391758087,0.11990519991103692
volume_price_correlation,1,train_oof_unseen,1,0.0027812376278618218,0.004300190542168163,0.001380895658854112,0.4838709677419355,0.5483870967741935,31,31,12,31,0.02425219570292602,0.2121212121212121,0.0889646852685021,0.35753885960099036,0.2466773530198116
volume_price_correlation,2,train_oof_unseen,2,-0.001913933176988124,-0.0013782401646961207,0.0010882288906391068,0.4838709677419355,0.45714285714285713,31,31,9,35,0.03850464683091872,0.1515151515151515,0.08529369289086408,0.34884296638069345,0.12117659626821213
volume_price_correlation,3,train_oof_unseen,3,0.005471663123404565,0.009442751146255465,0.0018274149457919698,0.4827586206896552,0.5172413793103449,29,29,22,29,0.009845614982205864,0.41818181818181815,0.10351068303892771,0.31195834366088115,0.17768820430428564
volume_price_correlation,4,train_oof_unseen,4,-0.0008646758826664724,-0.0018702162313279057,0.001266389854663609,0.5294117647058824,0.4878048780487805,34,34,6,41,0.021581704183518253,0.11515151515151514,0.09127526031170417,0.2981931179212459,0.14717235372593168
