datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-01-02,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-0.02910250425338745
2025-01-03,999541.7490008508,1.0459189070388675e-16,916501.9982985451,0.9165019982985452,458.2509991492725,0.0004582509991492725,916501.9982985451,83039.75070230564,-0.011839091777801514
2025-01-06,998239.1299421688,-0.00019655174079989047,2042687.5905017273,1.126701904476652,1564.4083870629893,0.0011066645180348293,956361.9452067072,41877.184735461604,-0.0016410350799560547
2025-01-07,1012308.9928660461,0.015252841035140685,3190608.8217562656,1.1499461369752566,2720.5282272507234,0.0011581592080594073,955190.710104383,57118.282761663155,0.007199883460998535
2025-01-08,1009621.5680904746,-0.0016106319023932762,4254906.570296493,1.0513566075581244,3777.4958438326244,0.0010441156050480373,968220.5168620499,41401.05122842469,-0.0018152594566345215
2025-01-09,1013281.0252689031,0.004933624377954637,5549900.837940763,1.2826531331868516,5099.132246244042,0.001309041371720164,919917.3409085977,93363.68436030543,-0.0024644136428833008
2025-01-10,997985.5333033225,-0.01396485982574053,6693064.493461349,1.1281802649143806,6244.296729861778,0.0011301548682546715,901765.3572323344,96220.17607098809,-0.012539029121398926
2025-01-13,991834.929707956,-0.004820655242537222,8053354.091569321,1.3630353875024888,7583.956132133279,0.0013423635489356663,938214.8047121834,53620.12499577255,-0.002670586109161377
2025-01-14,1023473.3673891627,0.03315720672333535,9302128.167584151,1.2590543432287962,8831.99425067814,0.0012583123271453485,972573.1954518672,50900.17193729549,0.02633357048034668
2025-01-15,1013217.5581946678,-0.008995977541037193,10353698.01782023,1.027452089856123,9880.66001829038,0.001024614612383458,969174.2172726613,44043.34092200655,-0.006416440010070801
2025-01-16,1020517.4893482135,0.008352395515411908,11508571.769766826,1.1398082698096241,11043.52265394639,0.0011476929374654502,961659.2436430284,58858.24570518513,0.0011481046676635742
2025-01-17,1032988.8145238204,0.013170436059545668,12482643.216414385,0.954487754315392,12012.857819448234,0.0009498466960335411,984572.4662755677,48416.34824825271,0.0031467676162719727
2025-01-20,1044417.9885153634,0.012694610126003952,14160038.728533091,1.6238273721211007,13697.074092808136,0.0016304303102606965,984044.3340580801,60373.6544572833,0.004546523094177246
2025-01-21,1050633.034998384,0.0073618498664376805,15624123.360719524,1.401818666746275,15170.876039044428,0.001411122713743466,972298.5543876346,78334.48061074944,0.0007674694061279297
2025-01-22,1044772.9585356627,-0.0048268451727021995,16432549.66810627,0.7694659128893545,15959.709508502352,0.0007508173103077209,1006412.9872520026,38359.97128366014,-0.009288132190704346
2025-01-23,1035557.0454418474,-0.008082809829288298,17201044.30674617,0.7355613794953219,16730.921463691007,0.0007381622474892285,992533.6530158726,43023.39242597484,0.0017715692520141602
2025-01-24,1057660.6619232302,0.02267985286351689,18573309.60072456,1.325146982504355,18113.586404707632,0.001335189545667834,995220.6403618011,62440.021561428905,0.007655620574951172
2025-01-27,1043978.4662960734,-0.011799917773073593,19777903.45780918,1.1389228137635468,19315.47318935569,0.0011363633232444978,988154.4763924312,55823.9899036422,-0.004118025302886963
2025-02-05,1049499.7079480302,0.006336366292498914,20872418.996507186,1.0484081559471559,20409.261501332036,0.0010477115642595514,996223.9597996797,53275.74814835043,-0.005762279033660889
2025-02-06,1075529.4723902654,0.02561340667950516,21733914.587112937,0.8208631065654483,21260.759888791596,0.0008113374220221556,1043099.6289217424,32429.843468522908,0.0125809907913208
2025-02-07,1096875.2208371402,0.021095189417890094,23052106.917642176,1.225621765249889,22603.509386512855,0.001248454395895932,1016673.7924822831,80201.42835485707,0.012977838516235352
2025-02-10,1093492.7489274985,-0.0018132415375999007,24444808.38235451,1.269699085415948,23997.08158416864,0.0012704929158598426,1012943.4268833777,80549.32204412072,0.0021474361419677734
2025-02-11,1097809.6284974462,0.005192846995353562,25819215.691656966,1.256896591815977,25358.54254992999,0.001245057150215832,1044514.4545013052,53295.17399614098,-0.004595398902893066
2025-02-12,1117747.0390356176,0.019068145171564074,26817631.573896453,0.9094617648835912,26354.3253786887,0.0009070633039734059,1070713.7548297863,47033.28420583135,0.009458065032958984
2025-02-13,1088216.0642190736,-0.025486793784869205,27860871.26093364,0.9333414901615724,27397.511907683747,0.0009332939319571802,1042332.2826265137,45883.78159255979,-0.003755807876586914
2025-02-14,1099359.3172209566,0.011392269150654328,29107106.791956626,1.1452096435621992,28651.50920345024,0.0011523422020666351,1039206.0034371363,60153.31378382032,0.008672952651977539
2025-02-17,1121762.9260593695,0.021052344734083912,29850642.45591719,0.6763354367524991,29391.991697800022,0.000673558210450818,1068456.4339914487,53306.49206792063,0.002129673957824707
2025-02-18,1092403.33238974,-0.025509326340762358,30608637.196600962,0.6757174114734958,30136.168809612514,0.000663399631530617,1067476.2751761791,24927.057213560947,-0.008769094944000244
2025-02-19,1109382.9506662702,0.016417937699888283,31559735.58085663,0.8706476408993048,31091.56038740744,0.0008745776852446181,1076824.897951986,32558.052714284204,0.006996750831604004
2025-02-20,1109274.7764200198,0.0012256879662938885,33004293.968169764,1.3021278057730796,32559.491966301113,0.001323196447189013,1031438.2721235717,77836.50429644802,-0.002858757972717285
2025-02-21,1129122.886886614,0.019201646007402078,34466074.71330947,1.3177805681810701,34011.28308146431,0.0013087750177179587,1072717.4336583447,56405.45322826931,0.012611150741577148
2025-02-24,1127972.998964926,0.0002816832096027626,35930101.963572375,1.2966057700767566,35479.22596196638,0.0013000736213484288,1065204.228138835,62768.77082609096,-0.0021935701370239258
2025-02-25,1115155.759058482,-0.010189666693045768,37235866.63398442,1.1576205029821318,36802.79697020251,0.0011734066413386565,1018097.8835924695,97057.87546601243,-0.011100590229034424
2025-02-26,1111018.5003764003,-0.002747237501375318,38331633.942289576,0.9826136836976995,37876.457931124096,0.0009627901324099089,1059246.980638455,51771.519737945375,0.008734822273254395
2025-02-27,1093769.6760563392,-0.014141831303641291,39829478.01478109,1.3481720349247643,39413.44604363765,0.0013834046075675939,965247.0643868023,128522.61166953688,0.0020644664764404297
2025-02-28,1063370.971002415,-0.02667152428771963,41072431.0665665,1.136393775577104,40639.64661745388,0.001121077499823713,969579.5158450687,93791.45515734632,-0.019673526287078857
2025-03-03,1052866.0942040419,-0.009098591680332729,41928954.754967,0.8054796602102788,41469.34514595715,0.0007802531300258592,1013554.6573697006,39311.43683434136,-0.0004048943519592285
2025-03-04,1051241.519366392,-0.0009518389339012903,42559482.68390909,0.598868110971667,42091.7610429591,0.0005911633971578221,1028776.5623093289,22464.957057062915,-0.0008366107940673828
2025-03-05,1070114.7711966343,0.01891038386036672,43555705.24234558,0.9476628729779789,43097.889873890366,0.000957086275985069,1028843.397981001,41271.3732156333,0.004465699195861816
2025-03-06,1085820.777590903,0.01575449630085061,44702636.45247502,1.071783364738445,44251.00268392463,0.0010775599412993955,1033339.3173756674,52481.4602152357,0.013751506805419922
2025-03-07,1082053.088025272,-0.0022366810463444694,46025660.33025825,1.2184551125634269,45590.05749659114,0.0012332189992140814,998848.8128561634,83204.27516910844,-0.003089606761932373
2025-03-10,1080819.8182423748,0.00014633385102022218,47418366.85583471,1.2870962996077415,46981.66827486728,0.0012860836438402592,1001198.6484521826,79621.1697901921,-0.003856956958770752
2025-03-11,1080573.131055996,0.0012681057438535153,49038506.86443337,1.498991766484564,48598.949280829904,0.0014963465497816622,1008287.2475438336,72285.88351216249,0.0032106637954711914
2025-03-12,1072461.900054425,-0.006208585610628793,50437479.00420199,1.2946575290109885,50001.3494896946,0.0012978299835145748,994722.2785589632,77739.6214954618,-0.0035987496376037598
2025-03-13,1057572.963532412,-0.012601986576981892,51808673.70505991,1.2785486372880286,51375.13554289728,0.0012809649024668997,976024.4234006795,81548.54013173247,-0.003985702991485596
2025-03-14,1087318.373826088,0.029095668741399194,52849261.24924841,0.9839392458680304,52400.51786602023,0.0009695617782228996,1037205.6581485602,50112.71567752776,0.02428114414215088
