,,risk
excess_return_without_cost,mean,0.0021026328401463797
excess_return_without_cost,std,0.009284439882488617
excess_return_without_cost,annualized_return,0.5004266159548384
excess_return_without_cost,information_ratio,3.4937853002672274
excess_return_without_cost,max_drawdown,-0.08421831086167966
excess_return_with_cost,mean,0.00190245340088625
excess_return_with_cost,std,0.00928325200592666
excess_return_with_cost,annualized_return,0.4527839094109275
excess_return_with_cost,information_ratio,3.1615668287071577
excess_return_with_cost,max_drawdown,-0.08996899381194404
benchmark,mean,0.0006773731551573942
benchmark,std,0.009719353201924266
benchmark,annualized_return,0.16121481092745982
benchmark,information_ratio,1.0751748451146768
benchmark,max_drawdown,-0.10799944400787354
strategy_return_without_cost,mean,0.002780005995303774
strategy_return_without_cost,std,0.01562502285491948
strategy_return_without_cost,annualized_return,0.6616414268822982
strategy_return_without_cost,information_ratio,2.7448179791074163
strategy_return_without_cost,max_drawdown,-0.16288363830810965
strategy_return_with_cost,mean,0.0025798265560436438
strategy_return_with_cost,std,0.015622456817603665
strategy_return_with_cost,annualized_return,0.6139987203383872
strategy_return_with_cost,information_ratio,2.54759069860982
strategy_return_with_cost,max_drawdown,-0.16882575662855237
