arm_id,model_seed,epoch,optimizer_step_end,train_loss_total,train_loss_rec,train_loss_koop,train_loss_diff,validation_early_mean_rankic,validation_early_complete_day_n,validation_early_score_coverage,gumbel_tau_last_step,elapsed_seconds,peak_gpu_memory_mib,status,reason
R2_REAKA_DIFFUSION,20260713,1,1311,0.27330399136013817,0.01026579634892427,0.00046876014722763577,0.2625694349517223,-0.007601179346138259,107,1.0,0.991006796390514,45.8105720316667,552.0,pass,
R2_REAKA_DIFFUSION,20260713,2,2622,0.12388026971879615,0.00170014014971084,7.374273885826651e-06,0.12217275534397215,-0.00695583446190969,107,1.0,0.9820067277401048,91.6211440633334,552.0,pass,
R2_REAKA_DIFFUSION,20260713,3,3933,0.10724295113608283,0.0015062628368714655,1.4077578528806647e-06,0.10573528051922464,-0.003847962984108019,107,1.0,0.9730066590896955,137.4317160950001,552.0,pass,
R2_REAKA_DIFFUSION,20260713,4,5244,0.09821256759649888,0.0014979617395993435,4.1309345739295875e-07,0.09671419273225554,0.0038414456791323764,107,1.0,0.9640065904392864,183.2422881266668,552.0,pass,
R2_REAKA_DIFFUSION,20260713,5,6555,0.09216771563644383,0.001498713426045684,1.665311893772667e-07,0.09066883579225253,-0.0023561944851142507,107,1.0,0.9550065217888771,229.05286015833352,552.0,pass,
R2_REAKA_DIFFUSION,20260713,6,7866,0.08684184763270436,0.001499658613698909,7.950659831968488e-08,0.08534210961823843,0.002768031621828967,107,1.0,0.9460064531384679,274.8634321900002,552.0,pass,
R2_REAKA_DIFFUSION,20260713,7,9177,0.08222839254904073,0.0014999624113970279,4.438647047765455e-08,0.08072838580616135,-0.003592809891866949,107,1.0,0.9370063844880586,320.6740042216669,552.0,pass,
R2_REAKA_DIFFUSION,20260713,8,10488,0.07816624802100224,0.001500288621701832,2.431262502692565e-08,0.07666593505106983,0.005949575429699258,107,1.0,0.9280063158376494,366.4845762533336,552.0,pass,
R2_REAKA_DIFFUSION,20260713,9,11799,0.07484186685189918,0.0015005069301271972,1.4336883986465165e-08,0.07334134555585338,-0.004689639358953045,107,1.0,0.9190062471872402,412.2951482850003,552.0,pass,
R2_REAKA_DIFFUSION,20260713,10,13110,0.07180518190511671,0.001500390894737514,9.404053078706806e-09,0.0703047815761144,-0.005763082252226654,107,1.0,0.910006178536831,458.10572031666703,552.0,pass,
R2_REAKA_DIFFUSION,20260713,11,14421,0.06935262836322571,0.0015002296049278266,6.164066169488925e-09,0.06785239242847313,0.001989684789564214,107,1.0,0.9010061098864217,503.91629234833374,552.0,pass,
R2_REAKA_DIFFUSION,20260713,12,15732,0.06728939007662006,0.0015002960822407632,4.148927576500063e-09,0.06578908985747624,0.0014542150953701905,107,1.0,0.8920060412360125,549.7268643800004,552.0,pass,
R2_REAKA_DIFFUSION,20260713,13,17043,0.06566480685577028,0.0015002972195720813,2.8420609880499805e-09,0.06416450690352231,0.004992032117299555,107,1.0,0.8830059725856032,595.5374364116672,552.0,pass,
R2_REAKA_DIFFUSION,20260713,14,18354,0.06373216392401738,0.0015003628072857462,1.6994019689718762e-09,0.062231799512783466,0.000221808629365383,107,1.0,0.874005903935194,641.3480084433338,552.0,pass,
R2_REAKA_DIFFUSION,20260713,15,19665,0.06218934469064617,0.001500147317499713,1.388206583497718e-09,0.06068919595339762,-0.004354881031109207,107,1.0,0.8650058352847847,687.1585804750006,552.0,pass,
R2_REAKA_DIFFUSION,20260713,16,20976,0.061044815745307505,0.0014999953641042162,8.025362462208425e-10,0.05954481954957374,0.00276444982573153,107,1.0,0.8560057666343756,732.9691525066672,552.0,pass,
