target_type,target_key,target_name,ts_code,date,open,high,low,close,volume,money,source,ema60,ema120,ema60_slope20,ret60,broad_ret60,close_gt_ema60,close_gt_ema120,ema60_slope20_gt0,ret60_gt_broad,theme_trend_ok
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-03,2739.5423,2754.4042,2739.5423,2750.407,4835535.89,8800766.381,tushare.index_daily,2750.407,2750.407,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-04,2749.7295,2778.2883,2742.9731,2778.2634,6547832.37,12061399.052,tushare.index_daily,2751.3203245901636,2750.867436363637,,,,True,True,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-05,2781.0063,2793.5221,2780.1616,2785.9717,7167117.49,12986785.587,tushare.index_daily,2752.4564352593384,2751.4476721262213,,,,True,True,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-06,2785.1305,2785.1365,2752.8438,2753.2594,7092397.61,12761509.291,tushare.index_daily,2752.4827619721473,2751.4776180414906,,,,True,True,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-09,2747.9199,2760.0843,2735.8341,2758.0323,6032932.49,10856062.026,tushare.index_daily,2752.664714038634,2751.5859598920442,,,,True,True,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-10,2755.1914,2765.0743,2744.0312,2744.8121,5411137.38,9899711.601,tushare.index_daily,2752.4072512832686,2751.4739952657296,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-11,2743.6962,2755.7469,2724.9775,2725.096,5693494.51,10447259.512,tushare.index_daily,2751.511800421522,2751.0379953439824,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-12,2722.2887,2732.6733,2701.2471,2703.6575,5546280.16,10340225.229,tushare.index_daily,2749.9428069650785,2750.254846660611,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-13,2702.8961,2707.0814,2656.3902,2658.6287,6373995.45,11241590.642,tushare.index_daily,2746.9489018186823,2748.740364897626,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-16,2650.311,2650.6467,2490.0479,2557.3969,10443011.22,19677874.175,tushare.index_daily,2740.734082086922,2745.5776629984916,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-17,2549.3078,2612.3167,2530.0814,2608.7649,7236905.74,14739889.723,tushare.index_daily,2736.4072236578427,2743.3162950150454,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-18,2591.1065,2598.2946,2578.0668,2578.4374,6098911.85,11568752.293,tushare.index_daily,2731.2278851772576,2740.5910240230614,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-19,2573.5226,2583.8372,2559.4425,2570.26,5316207.78,8293210.182,tushare.index_daily,2725.950249597675,2737.7756351962344,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-20,2567.3368,2632.0077,2566.4792,2621.1918,7333201.1,14444474.611,tushare.index_daily,2722.515546332177,2735.848629655801,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-23,2625.904,2646.6697,2625.904,2633.7081,6428235.28,12021433.234,tushare.index_daily,2719.6038267803024,2734.1603564383495,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-24,2630.9595,2633.1359,2607.5438,2610.5366,5825016.31,10749440.085,tushare.index_daily,2716.0278521317678,2732.116988563336,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-25,2605.6075,2624.346,2603.9392,2617.7947,5081975.7,9359533.814,tushare.index_daily,2712.8070930454805,2730.227363958983,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-01-26,2621.8785,2637.5536,2621.8466,2633.5519,4200161.77,7612037.133,tushare.index_daily,2710.2085621259566,2728.6294224059425,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-02-03,2638.2971,2652.1662,2626.5633,2643.1595,4631080.85,8175000.669,tushare.index_daily,2708.0102322201874,2727.216696415762,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-02-06,2640.995,2673.4919,2636.6021,2672.9061,6687975.49,12457629.529,tushare.index_daily,2706.859277065427,2726.3190006072373,,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-02-07,2670.0362,2676.1422,2646.3394,2661.1971,5851468.13,10943377.853,tushare.index_daily,2705.3621565059047,2725.242605555878,-0.016377519215918013,,,False,False,False,False,False
theme,ai,中证人工智能主题指数,930713.CSI,2017-02-08,2656.4426,2683.9577,2647.1238,2683.6334,6171497.28,11314826.056,tushare.index_daily,2704.6497382598095,2724.554850092145,-0.016962978070285684,,,False,False,False,False,False
