scope,fold,fold_role,calendar_year,start,end,raw_pullback_shape,raw_pullback_candidate,rule_pullback_entry,gate_applicable_candidates,completed_labeled_candidates,usable_labeled_candidates,bad_trade_count,good_or_neutral_count,raw_to_rule_ratio
calendar_year_all_signals,,,2017,2017-01-03,2017-12-29,10121,6018,109,109,0,0,0,0,55.211009174311926
calendar_year_all_signals,,,2018,2018-01-02,2018-12-28,4755,2652,3,3,0,0,0,0,884.0
calendar_year_all_signals,,,2019,2019-01-02,2019-12-31,8675,4903,121,121,0,0,0,0,40.52066115702479
calendar_year_all_signals,,,2020,2020-01-02,2020-12-31,8245,4983,154,154,0,0,0,0,32.357142857142854
calendar_year_all_signals,,,2021,2021-01-04,2021-12-31,7240,4466,33,33,0,0,0,0,135.33333333333334
calendar_year_all_signals,,,2022,2022-01-04,2022-12-30,6448,3836,13,13,0,0,0,0,295.0769230769231
calendar_year_all_signals,,,2023,2023-01-03,2023-12-29,8698,5194,51,51,0,0,0,0,101.84313725490196
calendar_year_all_signals,,,2024,2024-01-02,2024-12-31,10857,7227,255,255,0,0,0,0,28.341176470588234
calendar_year_all_signals,,,2025,2025-01-02,2025-12-31,10978,6916,271,271,0,0,0,0,25.52029520295203
calendar_year_all_signals,,,2026,2026-01-05,2026-04-30,2445,1473,13,13,0,0,0,0,113.3076923076923
calendar_year_raw_candidates,,,2017,2017-01-09,2017-12-29,6018,6018,109,109,0,0,0,0,55.211009174311926
calendar_year_raw_candidates,,,2018,2018-01-02,2018-12-28,2652,2652,3,3,0,0,0,0,884.0
calendar_year_raw_candidates,,,2019,2019-01-02,2019-12-31,4903,4903,121,121,0,0,0,0,40.52066115702479
calendar_year_raw_candidates,,,2020,2020-01-02,2020-12-31,4983,4983,154,154,0,0,0,0,32.357142857142854
calendar_year_raw_candidates,,,2021,2021-01-04,2021-12-31,4466,4466,33,33,0,0,0,0,135.33333333333334
calendar_year_raw_candidates,,,2022,2022-01-04,2022-12-30,3836,3836,13,13,0,0,0,0,295.0769230769231
calendar_year_raw_candidates,,,2023,2023-01-03,2023-12-29,5194,5194,51,51,0,0,0,0,101.84313725490196
calendar_year_raw_candidates,,,2024,2024-01-02,2024-12-31,7227,7227,255,255,0,0,0,0,28.341176470588234
calendar_year_raw_candidates,,,2025,2025-01-03,2025-12-31,6916,6916,271,271,0,0,0,0,25.52029520295203
calendar_year_raw_candidates,,,2026,2026-01-05,2026-04-30,1473,1473,13,13,0,0,0,0,113.3076923076923
fold_role_dataset,WF1,train,,2017-01-09,2018-12-28,8670,8670,112,112,8642,8553,6276,2366,77.41071428571429
fold_role_dataset,WF1,valid,,2019-01-02,2020-12-31,9886,9886,275,275,9857,0,6996,2861,35.949090909090906
fold_role_dataset,WF2,train,,2017-01-09,2019-12-31,13573,13573,233,233,13532,13089,9775,3757,58.25321888412017
fold_role_dataset,WF2,valid,,2020-01-02,2021-12-31,9449,9449,187,187,9423,0,6912,2511,50.529411764705884
fold_role_dataset,WF3,train,,2017-01-09,2020-12-31,18556,18556,387,387,18499,18171,13272,5227,47.94832041343669
fold_role_dataset,WF3,valid,,2021-01-04,2022-12-30,8302,8302,46,46,8288,0,6492,1796,180.47826086956522
fold_role_dataset,WF4,train,,2017-01-09,2021-12-31,23022,23022,420,420,22955,22617,16687,6268,54.81428571428572
fold_role_dataset,WF4,valid,,2022-01-04,2023-12-29,9030,9030,64,64,9017,0,7068,1949,141.09375
fold_role_dataset,WF5,train,,2017-01-09,2022-12-30,26858,26858,433,433,26787,26558,19764,7023,62.02771362586605
fold_role_dataset,WF5,valid,,2023-01-03,2024-12-31,12421,12421,306,306,12404,0,9091,3313,40.591503267973856
inner_fit,WF1,fit,,2017-01-01,2017-12-31,5675,5675,109,109,5675,5675,3890,1785,52.06422018348624
inner_select,WF1,select,,2018-01-01,2018-12-31,2549,2549,3,3,2549,2549,2185,364,849.6666666666666
inner_fit,WF2,fit,,2017-01-01,2018-12-31,8553,8553,112,112,8553,8553,6225,2328,76.36607142857143
inner_select,WF2,select,,2019-01-01,2019-12-31,4447,4447,113,113,4447,4447,3291,1156,39.35398230088496
inner_fit,WF3,fit,,2017-01-01,2019-12-31,13089,13089,225,225,13089,13089,9567,3522,58.17333333333333
inner_select,WF3,select,,2020-01-01,2020-12-31,4639,4639,150,150,4639,4639,3425,1214,30.926666666666666
inner_fit,WF4,fit,,2017-01-01,2020-12-31,18171,18171,383,383,18171,18171,13200,4971,47.44386422976501
inner_select,WF4,select,,2021-01-01,2021-12-31,4118,4118,30,30,4118,4118,3194,924,137.26666666666668
inner_fit,WF5,fit,,2017-01-01,2021-12-31,22617,22617,416,416,22617,22617,16466,6151,54.36778846153846
inner_select,WF5,select,,2022-01-01,2022-12-31,3603,3603,12,12,3603,3603,2969,634,300.25
