feature,present,used_in_model,t_day_observable,missing_ratio,reason
trend_score,True,True,True,0.8685311983515422,
trend_score_pct,True,True,True,0.8685311983515422,
candidate_rank,True,True,True,0.0,
distance_to_ema20,True,True,True,0.0,
distance_to_ema60,True,True,True,0.0,
pullback_depth,True,True,True,0.022344330206701152,
money_ratio20,True,True,True,0.0,
volume_ratio20,True,True,True,0.0,
money_zscore20,True,True,True,0.0,
money_change5,True,True,True,0.0034986799459099786,
money_change20,True,True,True,0.025978950682206816,
ret5,True,True,True,0.0018817031201928925,
ret20,True,True,True,0.021235341675788992,
ret60,True,True,True,0.06849256262207817,
volatility20,True,True,True,0.00460766847682214,
atr20_ratio,True,True,True,0.0,
ema20_slope20,True,True,True,0.021235341675788992,
ema60_slope20,True,True,True,0.021235341675788992,
distance_to_high60,True,True,True,0.022344330206701152,
distance_to_low20,True,True,True,0.0019532507673485156,
close_gt_ema60_ratio,True,True,True,0.0,
ema20_gt_ema60_ratio,True,True,True,0.0,
raw_pullback_shape_numeric,True,True,True,0.0,
raw_pullback_candidate_numeric,True,True,True,0.0,
rule_pullback_entry_numeric,True,True,True,0.0,
gate_applicable_numeric,True,True,True,0.0,
market_ok_numeric,True,True,True,0.0,
width_ok_numeric,True,True,True,0.0,
industry_trend_ok_numeric,True,True,True,0.0,
pullback_money_weak_numeric,True,True,True,0.0,
pullback_top10_20_numeric,True,True,True,0.0,
entry_type,True,False,True,0.0,constant pullback-only scope; audited but excluded from LGBM
